Rank,Name,Platform,Genre,Publisher,ESRB_Rating,Developer,User_Score
668,Call of Duty 3,X360,Shooter,Activision,T,Treyarch,8.4
674,Halo Wars,X360,Strategy,Microsoft Game Studios,T,Ensemble Studios,8.5
729,Crisis Core: Final Fantasy VII,PSP,Role-Playing,Square Enix,T,Square Enix,9
753,Resistance 2,PS3,Shooter,Sony Computer Entertainment,M,Insomniac Games,8.7
767,Kirby Star Allies,NS,Platform,Nintendo,E10,HAL Laboratory,10
836,Resident Evil 4,PS2,Action,Capcom,M,Capcom Production Studio 4,9.3
858,Guitar Hero III: Legends of Rock,PS3,Misc,RedOctane,T,Neversoft,8
861,Call of Duty 3,Wii,Shooter,Activision,T,EXAKT Entertainment,7.3
870,Prince of Persia: The Sands of Time,PS2,Adventure,Ubisoft,T,Ubisoft Montreal,9.1
909,Devil May Cry,PS2,Action,Capcom,M,Capcom,9.3
955,Donkey Kong Country: Tropical Freeze,NS,Platform,Nintendo,E,Retro Studios,9.1
969,Call of Duty 2,X360,Shooter,Activision,T,Infinity Ward,9.1
999,Onimusha: Warlords,PS2,Action,Capcom,M,Flagship,7.3
1027,Donkey Kong Country: Tropical Freeze,WiiU,Platform,Nintendo,E,Retro Studios,9.1
1058,Call of Duty: World at War,Wii,Shooter,Activision,M,EXAKT Entertainment,8.9
1081,Dissidia: Final Fantasy,PSP,Fighting,Square Enix,T,Square Enix,10
1084,Monster Hunter Tri,Wii,Role-Playing,Capcom,T,Capcom Production Studio 1,10
1090,Ratchet & Clank Future: A Crack in Time,PS3,Platform,Sony Computer Entertainment,E10,Insomniac Games,9
1105,Star Wars: The Force Unleashed,Wii,Action,LucasArts,T,Krome Studios,7.4
1111,The Legend of Dragoon,PS,Role-Playing,Sony Computer Entertainment,T,SCEI,6.5
1134,Demon's Souls,PS3,Role-Playing,Atlus,M,From Software,9.5
1199,Crackdown,X360,Shooter,Microsoft Game Studios,M,Realtime Worlds,7
1341,The Legend of Zelda: Breath of the Wild,WiiU,Action-Adventure,Nintendo,E10,Nintendo EPD,10
1363,Sonic Unleashed,Wii,Platform,Sega,E10,Sonic Team/Dimps Corporation,8.2
1382,Devil May Cry 4,PS3,Action,Capcom,M,Capcom,8.2
1412,Yoshi's Woolly World,WiiU,Platform,Nintendo,E,Good-Feel,6
1420,Sonic the Hedgehog (2006),X360,Platform,Sega,E10,Sonic Team,4.8
1455,Call of Duty: Modern Warfare: Reflex Edition,Wii,Shooter,Activision,M,Treyarch,8.9
1482,Octopath Traveler,NS,Role-Playing,Nintendo,T,Square Enix,8.7
1523,Tom Clancy's Splinter Cell: Pandora Tomorrow,XB,Action,Ubisoft,T,Ubisoft Shanghai,9
1541,Resident Evil 4: Wii Edition,Wii,Action,Capcom,M,Capcom Production Studio 4,9.7
1563,The House of the Dead 2 & 3 Return,Wii,Shooter,Sega,M,Sega,7
1565,BioShock,PS3,Shooter,2K Games,M,2K Boston / 2K Australia / 2K Marin,9.6
1604,Metroid Prime 3: Corruption,Wii,Shooter,Nintendo,T,Retro Studios,9.4
1668,Star Wars Knights of the Old Republic II: The Sith Lords,XB,Role-Playing,LucasArts,T,Obsidian Entertainment,9.3
1732,Grand Theft Auto: Chinatown Wars,DS,Adventure,Rockstar Games,M,Rockstar Leeds/North,9.6
1741,MAG: Massive Action Game,PS3,Shooter,Sony Computer Entertainment,T,Zipper Interactive,9.5
1772,Final Fantasy: Crystal Chronicles,GC,Role-Playing,Nintendo,T,Square Enix,7.5
1775,Resident Evil: The Umbrella Chronicles,Wii,Shooter,Capcom,M,Cavia Inc.,8
1814,Castlevania: Symphony of the Night,PS,Platform,Konami,T,Konami Computer Entertainment Tokyo,9
1916,Bayonetta,PS3,Action,Sega,M,PlatinumGames,7.2
1942,Final Fantasy IV,DS,Role-Playing,Square Enix,E10,Matrix Software,9
1951,Sonic and the Black Knight,Wii,Platform,Sega,E10,Sonic Team,8.5
