Name,Genre,Publisher,ESRB_Rating,Developer,Critic_Score
Final Fantasy XII,Role-Playing,Square Enix,T,Square Enix,9.4
Tomodachi Life,Simulation,Nintendo,E,Nintendo,7.8
Pokemon Crystal Version,Role-Playing,Nintendo,E,Game Freak,8.7
Halo 3: ODST,Shooter,Microsoft Game Studios,M,Bungie,8.7
Kingdom Hearts,Role-Playing,Square EA,E,SquareSoft,8.5
The Last of Us,Action-Adventure,Sony Computer Entertainment America,M,Naughty Dog,9.5
Driver,Action,GT Interactive,T,Reflections Interactive,8.5
God of War (2018),Action,Sony Interactive Entertainment,M,SIE Santa Monica Studio,9.7
Big Brain Academy,Misc,Nintendo,E,Nintendo EAD,7.7
Metal Gear Solid 2: Sons of Liberty,Action,Konami,M,Konami Computer Entertainment Japan,9.5
Myst,Adventure,Broderbund,E,Cyan Worlds,8.9
Metal Gear Solid 4: Guns of the Patriots,Action,Konami,M,Kojima Productions,9.3
Mario Kart: Super Circuit,Racing,Nintendo,E,Intelligent Systems,9.3
Super Mario Sunshine,Platform,Nintendo,E,Nintendo EAD,9.2
Super Mario 3D World,Platform,Nintendo,E,Nintendo EAD Tokyo,9.5
Link's Crossbow Training,Shooter,Nintendo,T,Nintendo EAD,6.9
New Super Mario Bros. U,Platform,Nintendo,E,Nintendo EAD,8.4
Luigi's Mansion: Dark Moon,Adventure,Nintendo,E,Next Level Games,8.6
Tekken 2,Fighting,Namco,T,Namco,9.1
Super Mario World: Super Mario Advance 2,Platform,Nintendo,E,Nintendo EAD,9.4
Cooking Mama,Simulation,Majesco,E,Office Create,6.6
Super Mario Advance,Platform,Nintendo,E,Nintendo EAD,8.2
Super Smash Bros.,Fighting,Nintendo,E,HAL Laboratory,8.4
Forza Motorsport 3,Racing,Microsoft Game Studios,E,Turn 10 Studios,9.2
Dragon Quest IX: Sentinels of the Starry Skies,Role-Playing,Nintendo,E10,Level 5,8.6
Final Fantasy IX,Role-Playing,Square,T,SquareSoft,9.2
Final Fantasy X-2,Role-Playing,Square Enix,T,Square Enix,8.3
Pokemon Stadium,Strategy,Nintendo,E,HAL Laboratory,7.5
Super Mario Advance 4: Super Mario Bros. 3,Platform,Nintendo,E,Nintendo EAD,9.2
Final Fantasy XIII,Role-Playing,Square Enix,T,Square Enix,8.0
Gran Turismo 5 Prologue,Racing,Sony Computer Entertainment,E,Polyphony Digital,8.3
Super Smash Bros. for Wii U,Fighting,Nintendo,E10,Bandai Namco Games,9.2
Pokemon Pinball,Misc,Nintendo,E,Jupiter Corporation,8.7
Super Mario Party,Party,Nintendo,E,"Nd Cube Co., Ltd.",7.3
Donkey Kong 64,Platform,Nintendo,E,Rare Ltd.,9.3
Just Dance 2,Misc,Ubisoft,E10,Ubisoft Paris,7.3
Tomb Raider II,Adventure,Eidos Interactive,T,Core Design Ltd.,7.6
Call of Duty: Advanced Warfare,Shooter,Activision,M,Sledgehammer Games,8.3
