Name,Genre,Publisher,ESRB_Rating,Developer,Critic_Score
MARIO KART: DOUBLE DASH!!,Racing,Nintendo,E,Nintendo EAD,8.5
UNCHARTED 3: DRAKE'S DECEPTION,Action,Sony Computer Entertainment,T,Naughty Dog,9.3
CRASH BANDICOOT,Platform,Sony Computer Entertainment,E,Naughty Dog,7.8
UNCHARTED 2: AMONG THIEVES,Action,Sony Computer Entertainment,T,Naughty Dog,9.5
RED DEAD REDEMPTION,Action,Rockstar Games,M,Rockstar San Diego,9.5
DONKEY KONG COUNTRY RETURNS,Platform,Nintendo,E,Retro Studios,8.6
GUILD WARS,Role-Playing,NCSoft,T,ArenaNet,8.7
FINAL FANTASY XII,Role-Playing,Square Enix,T,Square Enix,9.4
TOMODACHI LIFE,Simulation,Nintendo,E,Nintendo,7.8
POKEMON CRYSTAL VERSION,Role-Playing,Nintendo,E,Game Freak,8.7
HALO 3: ODST,Shooter,Microsoft Game Studios,M,Bungie,8.7
KINGDOM HEARTS,Role-Playing,Square EA,E,SquareSoft,8.5
THE LAST OF US,Action-Adventure,Sony Computer Entertainment America,M,Naughty Dog,9.5
DRIVER,Action,GT Interactive,T,Reflections Interactive,8.5
GOD OF WAR (2018),Action,Sony Interactive Entertainment,M,SIE Santa Monica Studio,9.7
BIG BRAIN ACADEMY,Misc,Nintendo,E,Nintendo EAD,7.7
METAL GEAR SOLID 2: SONS OF LIBERTY,Action,Konami,M,Konami Computer Entertainment Japan,9.5
MYST,Adventure,Broderbund,E,Cyan Worlds,8.9
METAL GEAR SOLID 4: GUNS OF THE PATRIOTS,Action,Konami,M,Kojima Productions,9.3
MARIO KART: SUPER CIRCUIT,Racing,Nintendo,E,Intelligent Systems,9.3
SUPER MARIO SUNSHINE,Platform,Nintendo,E,Nintendo EAD,9.2
SUPER MARIO 3D WORLD,Platform,Nintendo,E,Nintendo EAD Tokyo,9.5
LINK'S CROSSBOW TRAINING,Shooter,Nintendo,T,Nintendo EAD,6.9
NEW SUPER MARIO BROS. U,Platform,Nintendo,E,Nintendo EAD,8.4
LUIGI'S MANSION: DARK MOON,Adventure,Nintendo,E,Next Level Games,8.6
TEKKEN 2,Fighting,Namco,T,Namco,9.1
SUPER MARIO WORLD: SUPER MARIO ADVANCE 2,Platform,Nintendo,E,Nintendo EAD,9.4
COOKING MAMA,Simulation,Majesco,E,Office Create,6.6
