rank,name,year,genre,na_sales,eu_sales,jp_sales,other_sales,global_sales,critic_score,esrb_rating,userscore,metascore
92,SUPER MARIO GALAXY 2,2010-01-01,Platform,3.66,2.42,0.98,0.64,7.69,9.7,E,9.1,97
96,CRASH BANDICOOT 2: CORTEX STRIKES BACK,1997-01-01,Platform,3.78,2.17,1.31,0.31,7.58,8.6,E,,
97,SUPER MARIO BROS. 2,1988-01-01,Platform,5.39,1.18,0.7,0.19,7.46,8.5,E,,
103,JUST DANCE,2009-01-01,Misc,3.51,3.03,0,0.73,7.27,5.4,E10,8,49
106,TEKKEN 3,1998-01-01,Fighting,3.27,2.22,1.4,0.29,7.16,9.6,T,,
108,SUPER SMASH BROS. MELEE,2001-01-01,Fighting,4.41,1.04,1.39,0.22,7.07,9.2,T,9.1,92
109,MARIO KART 8,2014-01-01,Racing,3.13,2.07,1.27,0.49,6.96,8.8,E,8.9,88
111,MARIO KART: DOUBLE DASH!!,2003-01-01,Racing,4.12,1.77,0.87,0.19,6.95,8.5,E,8.6,87
116,UNCHARTED 3: DRAKE'S DECEPTION,2011-01-01,Action,2.77,2.8,0.19,1.06,6.83,9.3,T,8.4,92
117,CRASH BANDICOOT,1996-01-01,Platform,3.23,2.35,0.94,0.3,6.82,7.8,E,,
119,GEARS OF WAR 2,2008-01-01,Shooter,4.15,1.92,0.06,0.64,6.76,9.4,M,7.7,93
120,UNCHARTED 2: AMONG THIEVES,2009-01-01,Action,3.27,2.25,0.21,1,6.73,9.5,T,8.9,96
123,BIG BRAIN ACADEMY,2005-01-01,Misc,1.67,2.78,1.6,0.62,6.67,7.7,E,7.5,74
128,THE LEGEND OF ZELDA,1986-01-01,Action,3.74,0.93,1.69,0.14,6.51,9,E,,
131,POKÉMON EMERALD VERSION,2004-01-01,Role-Playing,2.57,1.58,2.06,0.21,6.41,,,,
133,POKÉMON CRYSTAL VERSION,2000-01-01,Role-Playing,2.55,1.56,1.29,0.99,6.39,,,,
134,HALO 3: ODST,2009-01-01,Shooter,4.34,1.35,0.06,0.61,6.36,8.7,M,7.2,83
136,SUPER MARIO SUNSHINE,2002-01-01,Platform,4.01,1.26,0.87,0.17,6.31,9.2,E,8.6,92
137,STREET FIGHTER II: THE WORLD WARRIOR,1992-01-01,Fighting,2.47,0.83,2.87,0.12,6.3,,,,
138,WORLD OF WARCRAFT,2004-01-01,Role-Playing,0.07,6.21,0,0,6.28,9.2,T,7.3,93
139,DRIVER,1999-01-01,Action,3.11,2.8,0.02,0.33,6.27,8.5,T,,
