rank,name,year,genre,na_sales,eu_sales,jp_sales,other_sales,global_sales,critic_score,esrb_rating,userscore,metascore
5732,JAMPACK: SUMMER 2003 (RP-M),2003-01-01,Misc,0.15,0.12,0,0.04,0.31,,,,
5733,ALONE IN THE DARK: ONE-EYED JACK'S REVENGE,1996-01-01,Adventure,0.17,0.12,0,0.02,0.31,,,,
5734,YU-GI-OH! THE DAWN OF DESTINY,2004-01-01,Strategy,0.23,0.07,0,0.01,0.31,,,7.2,53
5738,EINHÄNDER,1997-01-01,Shooter,0.1,0.07,0.13,0.02,0.31,,,,
5739,TINY TOON ADVENTURES: THE GREAT BEANSTALK,1998-01-01,Misc,0.17,0.12,0,0.02,0.31,,,,
5740,FOTO FRENZY: SPOT THE DIFFRENCE,2009-01-01,Puzzle,0.29,0,0,0.02,0.31,,,,
5744,ARMORED CORE: SILENT LINE,2003-01-01,Simulation,0.07,0.06,0.16,0.02,0.31,,,,
5746,DR. SEUSS: HOW THE GRINCH STOLE CHRISTMAS,2007-01-01,Action,0.29,0,0,0.02,0.31,,,,
5747,PANZER DRAGOON II ZWEI,1995-01-01,Shooter,0,0,0.31,0,0.31,,,,
5748,KISS PINBALL,2001-01-01,Action,0.17,0.12,0,0.02,0.31,,,3.8,26
5751,SUPER ROBOT TAISEN COMPLETE BOX,1999-01-01,Strategy,0,0,0.29,0.02,0.31,,,,
5754,LORD OF ARCANA,2010-01-01,Role-Playing,0.07,0.04,0.17,0.03,0.31,4.7,M,5.5,53
5755,JIKKYOU POWERFUL PRO YAKYUU 4,1997-01-01,Sports,0,0,0.26,0.05,0.31,,,,
5756,GOEMON'S GREAT ADVENTURE,1998-01-01,Platform,0.06,0.02,0.13,0.1,0.31,,,,
5759,BASS HUNTER 64,1999-01-01,Sports,0.25,0.06,0,0,0.31,6,E,,
5760,DOUBUTSU NO MORI,2001-01-01,Simulation,0,0,0.26,0.05,0.31,,,,
5761,FOOTBALL MANAGER 2016,2015-01-01,Simulation,0,0.29,0,0.02,0.31,,,6.9,81
5762,NARUTO: NINJA DESTINY (US SALES),2006-01-01,Fighting,0.31,0,0,0,0.31,,,,
5765,TAIKO DRUM MASTER: DON AND KATSU'S SPACE-TIME GREAT ADVENTURE,2014-01-01,Action,0,0,0.31,0,0.31,,,,
5766,CALVIN TUCKER'S REDNECK JAMBOREE,2008-01-01,Misc,0.29,0,0,0.02,0.31,,,,
5768,J-LEAGUE WINNING ELEVEN 2007: CLUB CHAMPIONSHIP,2007-01-01,Sports,0,0,0.31,0,0.31,,,,
5772,YU-GI-OH! 5D'S WORLD CHAMPIONSHIP 2010 REVERSE OF ARCADIA,2010-01-01,Strategy,0.18,0.02,0.09,0.02,0.31,7.6,E10,,
5773,MEGA MAN BATTLE NETWORK 2,2002-01-01,Action,0.22,0.08,0,0.01,0.31,,,7.7,81
5774,LITTLE KING'S STORY,2009-01-01,Strategy,0.15,0.11,0.02,0.02,0.31,8.5,T,7.3,62
5775,MOUNTAIN KING,1982-01-01,Action,0.29,0.02,0,0,0.31,,,,
5776,JAMPACK VOLUME 12,2005-01-01,Misc,0.15,0.12,0,0.04,0.31,,,,
5780,BEIJING 2008,1997-01-01,Role-Playing,0.29,0.92,0.01,0.25,1.46,,,,
5783,LORD OF THE RINGS: BATTLE FOR MIDDLE-EARTH,2006-01-01,Strategy,0.28,0,0,0.02,0.31,,,,
5784,DEMOLITION RACER,1998-01-01,Racing,0.17,0.12,0,0.02,0.31,,,,
5787,MATH PLAY,2006-01-01,Puzzle,0.28,0,0,0.02,0.31,,,,
5790,SD GUNDAM G GENERATION: OVERWORLD,2012-01-01,Strategy,0,0,0.31,0,0.31,,,,
5791,SORCERY,2012-01-01,Action,0.14,0.12,0,0.05,0.31,,,7.3,70
5792,TOUCHMASTER: CONNECT,2010-01-01,Puzzle,0.11,0.17,0,0.03,0.31,,,,
5793,NHL FACEOFF 2000,1998-01-01,Sports,0.17,0.12,0,0.02,0.31,,,,
5794,STAR WARS RACER REVENGE,2002-01-01,Racing,0.15,0.12,0,0.04,0.31,7.8,E,,
5795,NBA LIVE 99,2007-01-01,Sports,1.58,0.07,0,0.03,1.69,8.3,E,,
5797,NCAA FINAL FOUR 2002,2001-01-01,Sports,0.15,0.12,0,0.04,0.31,,,6.5,52
5799,MUSIC MAKER,2001-01-01,Misc,0.15,0.12,0,0.04,0.31,,,,
5801,GANBARE GOEMON 2: KITERETSU SHOUGUN MAGGINESU,1993-01-01,Platform,0,0,0.31,0,0.31,,,,
5802,ASTROBLAST,1981-01-01,Action,0.29,0.02,0,0,0.31,,,,
5804,40 WINKS,1999-01-01,Platform,0.17,0.12,0,0.02,0.31,5.5,E,,
5806,FATE/EXTRA,2010-01-01,Role-Playing,0.18,0.01,0.1,0.02,0.31,,,8.1,58
5807,SHAUN WHITE SNOWBOARDING: WORLD STAGE,2009-01-01,Sports,0.25,0.04,0,0.02,0.31,7.2,E,8.7,72
5808,NFL GAMEDAY 2000,2009-01-01,Misc,6,4.08,0,0.72,10.8,,,,
5808,L.A. NOIRE,2009-01-01,Misc,16.74,13.62,0.84,4.5,35.7,7.9,M,7.8,89
5808,RIDGE RACER REVOLUTION,2009-01-01,Misc,0.51,0.36,2.13,0.21,3.21,,,,
5808,MY VIRTUAL TUTOR: READING ADVENTURE PRE-K TO KINDERGARTEN,2009-01-01,Misc,0.29,0,0,0.02,0.31,,,,
5810,A COLLECTION OF CLASSIC GAMES FROM THE INTELLIVISION,1999-01-01,Misc,0.17,0.12,0,0.02,0.31,,,,
5813,BRUCE LEE: QUEST OF THE DRAGON,2002-01-01,Fighting,0.23,0.07,0,0.01,0.31,,,2.4,32
5815,KURUKURU KURURIN,2001-01-01,Puzzle,0,0,0.3,0.01,0.31,,,,
5817,DISNEY'S STITCH: EXPERIMENT 626,2002-01-01,Action,0.15,0.12,0,0.04,0.31,,,7.9,59
5818,RPG TSUKURU 2,1996-01-01,Role-Playing,0,0,0.31,0,0.31,,,,
5819,YUU YUU HAKUSHO 2: KAKUTOU NO SHO,1994-01-01,Fighting,0,0,0.31,0,0.31,,,,
5820,ORPHEN: SCION OF SORCERY,2000-01-01,Role-Playing,0.15,0.12,0,0.04,0.31,,,6.2,54
5822,IMAGINE: FAMILY DOCTOR,2009-01-01,Simulation,0.28,0.01,0,0.02,0.3,,,,
5823,MAGNA CARTA 2,2009-01-01,Role-Playing,0.13,0.08,0.07,0.02,0.3,6.6,T,7,69
5824,TALES OF DESTINY,2005-01-01,Action,0.09,0.06,1.35,0.07,1.56,6.2,T,,
5825,NICKTOONS: BATTLE FOR VOLCANO ISLAND,2006-01-01,Action,0.28,0,0,0.02,0.3,,,7.2,59
5826,MIDTOWN MADNESS 3,2003-01-01,Racing,0.23,0.07,0,0.01,0.3,,,8,76
5827,SHREK SWAMP KART SPEEDWAY,2002-01-01,Racing,0.22,0.08,0,0.01,0.3,,,,
5830,GAMEBOY GALLERY,1995-01-01,Misc,0,0,0.3,0,0.3,,,,
5831,VIRTUA COP 2,1996-01-01,Shooter,0,0,0.3,0,0.3,,,,
5832,EHRGEIZ,1998-01-01,Fighting,0.17,0.12,0,0.02,0.3,6.7,T,,
5833,TOUHOKU DAIGAKU MIRAI KAGAKU GIJUTSU KYOUDOU KENKYUU CENTER KAWASHIMA RYUUTA KYOUJU KANSHU: NOU RYOKU TRAINER PORTABLE,2005-01-01,Misc,0,0,0.3,0,0.3,,,,
5835,SPYRO: ATTACK OF THE RHYNOCS,2003-01-01,Platform,0.22,0.08,0,0.01,0.3,,,7.4,72
5836,"ARMY MEN WORLD WAR: LAND, SEA, AIR",2000-01-01,Action,0.17,0.12,0,0.02,0.3,,,,
5837,DAI-2-JI SUPER ROBOT TAISEN OG,2012-01-01,Strategy,0,0,0.3,0,0.3,,,,
5839,TRAUMA CENTER: NEW BLOOD,2007-01-01,Simulation,0.22,0.04,0.01,0.03,0.3,7.5,T,8,77
5841,LUMINES LL,2006-01-01,Puzzle,0.12,0.12,0,0.07,0.3,8,E10,,
5842,NES REMIX,2014-01-01,Action,0.2,0,0.08,0.02,0.3,,,7.2,71
5843,1701 A.D.,2006-01-01,Simulation,0,0.25,0,0.05,0.3,7.7,E10,8.2,79
5844,JUMPING FLASH!,1995-01-01,Platform,0.05,0.03,0.21,0.02,0.3,,,,
5848,LIZZIE MCGUIRE 3: HOMECOMING HAVOC,2005-01-01,Platform,0.22,0.08,0,0.01,0.3,,,,
5849,CHAOS LEGION,2003-01-01,Action,0.15,0.12,0,0.04,0.3,6.2,T,8.2,65
5850,POWERUP HEROES,2011-01-01,Fighting,0.18,0.1,0,0.03,0.3,4,E10,7.5,61
5855,NEOPETS: THE DARKEST FAERIE,2005-01-01,Adventure,0.15,0.12,0,0.04,0.3,,,8.4,61
5856,BLAZING HEROES,1995-01-01,Role-Playing,0,0,0.3,0,0.3,,,,
5857,RHYTHM TENGOKU,2006-01-01,Misc,0,0,0.3,0.01,0.3,,,,
5858,SUPER ROBOT TAISEN W,2007-01-01,Strategy,0,0,0.3,0,0.3,,,,
5859,CART WORLD SERIES,1997-01-01,Racing,0.17,0.11,0,0.02,0.3,7,E,,
5860,INVIZIMALS: SHADOW ZONE,2010-01-01,Strategy,0.05,0.16,0,0.08,0.3,,,,
5861,24: THE GAME,2006-01-01,Adventure,0.15,0.12,0,0.04,0.3,,,8.2,62
5864,FAMISTA '91,1990-01-01,Sports,0,0,0.3,0,0.3,,,,
5865,SQUINKIES,2011-01-01,Misc,0.27,0.02,0,0.02,0.3,,,,
5866,ZOO TYCOON 2 DS,2008-01-01,Strategy,0.24,0.03,0,0.02,0.3,6.9,E,5.4,60
5867,LOONEY TUNES: DUCK AMUCK,2007-01-01,Action,0.28,0,0,0.02,0.3,6.4,E,,
5868,SUPER ROBOT TAISEN OG: ORIGINAL GENERATIONS GAIDEN,2007-01-01,Strategy,0,0,0.3,0,0.3,,,,
5869,DRAKENGARD 3,2013-01-01,Role-Playing,0.1,0,0.19,0.02,0.3,,,7.9,61
5870,DECATHLETE,1994-01-01,Sports,0,0,0.3,0,0.3,,,,
5874,DEAD ISLAND: RIPTIDE,2015-01-01,Action,0.7,0.47,0.08,0.16,1.41,5.6,M,6,62
5875,JONAS,2009-01-01,Adventure,0.28,0,0,0.02,0.3,,,,
5881,ROMANCE OF THE THREE KINGDOMS VIII,2002-01-01,Strategy,0.05,0.04,0.19,0.01,0.3,,,8.9,77
5882,FOSSIL FIGHTERS (JP SALES),2008-01-01,Role-Playing,0,0,0.3,0,0.3,,,,
5883,DAIKAIJYUU MONOGATARI,1994-01-01,Role-Playing,0,0,0.3,0,0.3,,,,
5886,GLORY OF HERACLES,2008-01-01,Role-Playing,0.2,0,0.08,0.01,0.3,6.8,E10,7.4,69
5887,MONSTER TRUCK MADNESS 64,1999-01-01,Racing,0.24,0.06,0,0,0.3,5.5,E,,
5889,NOUNAI AESHE: IQ SUPPLI DS,2006-01-01,Misc,0,0,0.3,0,0.3,,,,
5890,CRAZY TAXI: CATCH A RIDE,2003-01-01,Racing,0.21,0.08,0,0.01,0.3,4.8,E,5.9,48
5893,FABLE III,2015-01-01,Action,3.68,1.28,0.05,0.43,5.45,7,M,5.5,75
5894,MACROSS DIGITAL MISSION VF-X,1997-01-01,Simulation,0,0,0.28,0.02,0.3,,,,
5895,ONE PIECE UNLIMITED CRUISE SP,2011-01-01,Action,0,0,0.3,0,0.3,,,,
5896,RAYMAN 2: REVOLUTION,2000-01-01,Platform,0.15,0.11,0,0.04,0.3,8.7,E,,
9183,DESIRE,1997-01-01,Adventure,0,0,0.14,0,0.14,,,,
5897,YU YU HAKUSHO GHOST FILES: SPIRIT DETECTIVE,2003-01-01,Action,0.21,0.08,0,0.01,0.3,,,,
5898,SUPER BOMBERMAN 5,1997-01-01,Puzzle,0,0,0.3,0,0.3,,,,
5899,N3: NINETY-NINE NIGHTS,2006-01-01,Action,0.2,0.03,0.05,0.02,0.3,6.3,M,,
5900,SHIN MEGAMI TENSEI: PERSONA 2: INNOCENT SIN,2011-01-01,Role-Playing,0.13,0.03,0.11,0.03,0.3,7,T,,
5901,ARMY MEN: AIR ATTACK 2,2000-01-01,Action,0.17,0.11,0,0.02,0.3,,,5.8,74
5904,PRIDE FC: FIGHTING CHAMPIONSHIPS,2003-01-01,Fighting,0.15,0.11,0,0.04,0.3,,,8.7,73
5905,ETERNAL RING,2000-01-01,Role-Playing,0.1,0.07,0.1,0.03,0.3,,,6.5,62
5906,DRAGON FORCE,1996-01-01,Strategy,0,0,0.3,0,0.3,9,E,,
5907,JOHN DEERE: HARVEST IN THE HEARTLAND,2007-01-01,Simulation,0.23,0.04,0,0.02,0.3,,,,
5908,RABBIDS: ALIVE & KICKING,2011-01-01,Misc,0.15,0.12,0,0.03,0.3,,,,
5910,WINNING POST 2,1995-01-01,Sports,0,0,0.3,0,0.3,,,,
5914,DANCE DANCE REVOLUTION UNIVERSE 3,2008-01-01,Simulation,0.28,0,0,0.02,0.3,,,,
5916,WE SING POP!,2012-01-01,Misc,0.08,0.19,0,0.03,0.3,,,,
5918,CAPCOM CLASSICS COLLECTION REMIXED,2006-01-01,Misc,0.27,0,0,0.03,0.3,7.6,T,6.3,72
5919,REEL FISHING: ANGLER'S DREAM,2009-01-01,Sports,0.26,0.01,0,0.02,0.3,,,,
5920,CALL OF DUTY: MODERN WARFARE 3: DEFIANCE,2011-01-01,Shooter,0.21,0.07,0,0.02,0.3,,,,
5921,SIMCITY 4,2003-01-01,Simulation,0.01,0.24,0,0.05,0.3,8.7,E,8.7,84
5922,FAR EAST OF EDEN ZERO,1995-01-01,Role-Playing,0,0,0.3,0,0.3,,,,
5928,TAIKO NO TATSUJIN WII: MINNA DE PARTY * 3-YOME!,2010-01-01,Misc,0,0,0.3,0,0.3,,,,
5930,Q*BERT,2006-01-01,Simulation,1.01,0.35,0,0.06,1.42,5.4,E,,
5932,THE SUITE LIFE OF ZACK & CODY: CIRCLE OF SPIES,2007-01-01,Action,0.17,0.09,0,0.03,0.3,,,,
5933,POWER PRO KUN POCKET 6,2003-01-01,Sports,0,0,0.29,0.01,0.3,,,,
5934,MEGA MAN ZX,2006-01-01,Platform,0.18,0,0.1,0.02,0.3,8.1,E,8.2,76
5935,HARVEST MOON DS CUTE (US SALES),2005-01-01,Simulation,0.3,0,0,0,0.3,,,,
5936,POWER PRO KUN POCKET 10,2007-01-01,Sports,0,0,0.3,0,0.3,,,,
5938,FINDING NEMO: THE CONTINUING ADVENTURES,2004-01-01,Action,0.21,0.08,0,0.01,0.3,8,E,,
5939,SPIRIT: STALLION OF THE CIMARRON,2002-01-01,Platform,0.21,0.08,0,0.01,0.3,,,,
5941,FUTURE COP L.A.P.D.,1997-01-01,Simulation,0.16,0.11,0,0.02,0.3,,,,
5944,HAMSTER TAROU,1999-01-01,Simulation,0,0,0.3,0,0.3,,,,
5949,TRACE MEMORY,2005-01-01,Adventure,0.15,0.01,0.12,0.01,0.3,6.5,T,8.1,70
5951,MAH JONG QUEST: EXPEDITIONS,2007-01-01,Puzzle,0.02,0.26,0,0.01,0.3,,,,
5954,AMF BOWLING 2004,2003-01-01,Sports,0.22,0.06,0,0.01,0.3,,,,
5958,REALSPORTS BOXING,1986-01-01,Sports,0.28,0.02,0,0,0.29,,,,
5959,IMAGINE: MAKEUP ARTIST,2020-01-01,Simulation,0.27,0,0,0.02,0.29,,,,
5963,TOM AND JERRY TALES,2006-01-01,Platform,0.21,0.06,0,0.02,0.29,,,,
5968,JUNIOR BRAIN TRAINER 2,2010-01-01,Misc,0.04,0.21,0,0.04,0.29,,,,
5971,POWER PRO KUN POCKET 4,2002-01-01,Sports,0,0,0.29,0.01,0.29,,,,
5972,THE GODFATHER: DONS EDITION,2007-01-01,Action,0.25,0.02,0,0.03,0.29,,,,
5973,SOUL SACRIFICE DELTA,2014-01-01,Action,0.01,0.12,0.12,0.04,0.29,,,8.5,82
5974,GUARDIAN HEROES,1995-01-01,Role-Playing,0,0,0.29,0,0.29,8.5,T,8,83
5980,FISHERMAN'S BAIT 2: BIG OL' BASS,1999-01-01,Sports,0.16,0.11,0,0.02,0.29,,,,
5981,LUPIN THE 3RD: TREASURE OF THE SORCERER KING,2002-01-01,Adventure,0.02,0.02,0.25,0.01,0.29,,,7.2,67
5983,KUROHYOU: RYU GA GOTOKU SHINSHOU,2010-01-01,Adventure,0,0,0.29,0,0.29,,,,
5985,ONE PIECE UNLIMITED CRUISE 2: AWAKENING OF A HERO,2009-01-01,Action,0,0.1,0.17,0.02,0.29,,,,
5989,COMMANDO,2000-01-01,Shooter,1.15,0.18,0.25,0.03,1.61,,,,
5990,PUNCH-OUT!!,2007-01-01,Sports,0.02,0.22,0.05,0,0.29,8.7,E10,8.6,86
5991,FLATOUT: HEAD ON,2008-01-01,Racing,0.13,0.11,0,0.06,0.29,7.3,T,8.2,74
5992,KAGERO: DECEPTION II,1998-01-01,Strategy,0.03,0.02,0.22,0.02,0.29,,,,
5993,JIKKYOU POWERFUL PRO YAKYUU 2000 KAIMAKUBAN,2000-01-01,Sports,0,0,0.27,0.02,0.29,,,,
5997,J-LEAGUE VICTORY GOAL '96,1996-01-01,Sports,0,0,0.29,0,0.29,,,,
5998,SHIN MEGAMI TENSEI: STRANGE JOURNEY,2009-01-01,Role-Playing,0.14,0,0.14,0.01,0.29,8,M,4.6,80
5999,JEOPARDY! 2ND EDITION,2000-01-01,Misc,0.16,0.11,0,0.02,0.29,,,,
6000,SD GUNDAM G CENTURY,1997-01-01,Strategy,0,0,0.27,0.02,0.29,,,,
6003,ATELIER IRIS 3: GRAND PHANTASM (US SALES),2006-01-01,Role-Playing,0.14,0.11,0,0.04,0.29,6.1,T,,
6004,ITADAKI STREET 2: NEON SIGN WA BARA IRO NI,1994-01-01,Misc,0,0,0.29,0,0.29,,,,
6005,PLAYSTATION ALL-STARS BATTLE ROYALE,2010-01-01,Misc,0.76,0.43,0.05,0.24,1.48,,,7.4,74
6007,FROM TV ANIMATION ONE PIECE: TREASURE BATTLE!,2002-01-01,Fighting,0,0,0.28,0.01,0.29,,,,
6008,STARHAWK,2012-01-01,Action,0.18,0.05,0.03,0.03,0.29,,,7.8,77
6009,DOLPHIN,1983-01-01,Action,0.27,0.02,0,0,0.29,,,,
6010,IMAGINE: FASHION DESIGNER WORLD TOUR,2009-01-01,Simulation,0.27,0,0,0.02,0.29,,,,
6012,THE SMURFS: DANCE PARTY,2011-01-01,Misc,0.22,0.04,0,0.02,0.29,,,,
6013,DISNEY CHANNEL: ALL STAR PARTY,2010-01-01,Misc,0.18,0.08,0,0.02,0.29,,,,
6014,ACE COMBAT: JOINT ASSAULT,2010-01-01,Simulation,0.06,0.05,0.15,0.03,0.29,6.9,T,7.3,71
6015,HAMSTER CLUB 4: SHIGESSA DAIDASSOU,2003-01-01,Simulation,0,0,0.28,0.01,0.29,,,,
6016,MEDIEVAL MOVES: DEADMUND'S QUEST,2011-01-01,Action,0.13,0.12,0,0.05,0.29,7,E10,6.5,61
6018,MEGA MAN X8,2004-01-01,Platform,0.14,0.11,0,0.04,0.29,,,8.5,68
6021,YS: MEMORIES OF CELCETA,2012-01-01,Action,0.15,0.01,0.1,0.04,0.29,,,6.7,74
6023,FAST FOOD,1981-01-01,Action,0.27,0.02,0,0,0.29,,,,
6024,JIKKYOU POWERFUL PRO YAKYUU 8,2001-01-01,Sports,0,0,0.29,0,0.29,,,,
6025,VIZ,1998-01-01,Racing,0.23,0.06,0,0,0.29,,,,
6026,TOP GEAR OVERDRIVE,1998-01-01,Racing,0.23,0.06,0,0,0.29,,,,
6027,XENA: WARRIOR PRINCESS - THE TALISMAN OF FATE,1999-01-01,Fighting,0.23,0.06,0,0,0.29,,,,
6029,THE NEW TETRIS,1999-01-01,Puzzle,0.22,0.05,0.02,0,0.29,,,,
6030,KEN GRIFFEY JR.'S SLUGFEST,1999-01-01,Sports,0.23,0.06,0,0,0.29,,,,
6031,SUPERCROSS 2000,1999-01-01,Racing,0.23,0.06,0,0,0.29,,,,
6034,WORLD OF TANKS,2011-01-01,Shooter,0,0.23,0,0.06,0.29,7.8,T,3.6,80
6035,JEWEL QUEST MYSTERIES: CURSE OF THE EMERALD TEAR,2010-01-01,Puzzle,0,0.25,0,0.04,0.29,,,,
6040,DEAD RISING: CHOP TILL YOU DROP,2009-01-01,Action,0.15,0.07,0.05,0.02,0.29,6.7,M,6.4,61
6043,FABLE: THE JOURNEY,2012-01-01,Role-Playing,0.18,0.09,0,0.02,0.29,,,4.7,61
6045,SONIC BOOM: SHATTERED CRYSTAL,2014-01-01,Action,0.17,0.09,0,0.03,0.29,3.8,E,6.1,47
6046,JUST DANCE WII 2,2012-01-01,Misc,0,0,0.29,0,0.29,,,,
6048,DX GAME OF LIFE,1996-01-01,Misc,0,0,0.27,0.02,0.29,,,,
6049,PIRATES OF THE CARIBBEAN,2003-01-01,Role-Playing,0.22,0.06,0,0.01,0.29,,,7.4,64
6055,SD GUNDAM GAIDEN: KNIGHT GUNDAM MONOGATARI: OOINARU ISAN,1991-01-01,Role-Playing,0,0,0.29,0,0.29,,,,
6057,WWII ACES,2008-01-01,Simulation,0.27,0,0,0.02,0.29,,,5.4,41
6060,"SAKURA WARS 4: KOI SEYO,OTOME",2002-01-01,Adventure,0,0,0.29,0,0.29,,,,
6062,DYNASTY TACTICS,2002-01-01,Strategy,0.06,0.05,0.16,0.02,0.29,,,8.1,79
6063,THE URBZ: SIMS IN THE CITY (US WEEKLY SALES),2004-01-01,Simulation,0.27,0,0,0.02,0.29,,,,
6065,FEEL THE MAGIC XY/XX,2004-01-01,Puzzle,0.17,0,0.1,0.02,0.29,7.7,T,,
6070,SNOWBOARDING,2000-01-01,Sports,0.16,0.11,0,0.02,0.29,,,,
6072,DRAGON BALL HEROES: ULTIMATE MISSION,2013-01-01,Misc,0,0,0.29,0,0.29,,,,
6077,FINAL FANTASY X-2: INTERNATIONAL + LAST MISSION,2004-01-01,Role-Playing,0,0,0.29,0,0.29,,,,
6078,NAMCO MUSEUM VOL.2,1996-01-01,Misc,0.03,0.02,0.21,0.02,0.29,,,,
6080,PENGUIN NO MONDAI: SAIKYOU PENGUIN DENSETSU! A PENGUIN'S TROUBLES,2008-01-01,Adventure,0,0,0.29,0,0.29,,,,
6082,I SPY: SPOOKY MANSION,2010-01-01,Puzzle,0.27,0,0,0.02,0.29,,,,
6083,TOMBA! 2: THE EVIL SWINE RETURN,1999-01-01,Platform,0.16,0.11,0,0.02,0.29,,,,
6085,WAPPY DOG,2011-01-01,Simulation,0.27,0,0,0.02,0.29,,,,
6086,DRAGON QUEST: SHOUNEN YANGUS TO FUSHIGI NO DUNGEON,2006-01-01,Role-Playing,0,0,0.29,0,0.29,,,,
6087,BEATMANIA APPEND 4THMIX: THE BEAT GOES ON,1999-01-01,Simulation,0,0,0.27,0.02,0.29,,,,
6089,WORLD OF WARCRAFT: LEGION,2016-01-01,Role-Playing,0.14,0.12,0,0.02,0.29,,,7.3,88
6090,FROGGER,1992-01-01,Strategy,35.1,2.34,0,0.78,38.16,6.4,E,5.3,61
6090,2 GAMES IN 1: DISNEY PRINCESS & THE LION KING,1992-01-01,Strategy,7.5,2.76,0,0.18,10.5,,,,
6090,FALLOUT 4,1992-01-01,Strategy,16.26,15.12,0.75,4.71,36.84,8.4,M,5.5,84
6090,ROMANCE OF THE THREE KINGDOMS III: DRAGON OF DESTINY,1992-01-01,Strategy,0,0,0.29,0,0.29,,,,
6091,POWER PRO KUN POCKET 11,2008-01-01,Sports,0,0,0.29,0,0.29,,,,
6096,RATATOUILLE: FOOD FRENZY,2007-01-01,Puzzle,0.26,0,0,0.02,0.29,,,,
6097,LINKS 2004,2003-01-01,Sports,0.21,0.06,0,0.01,0.29,,,8.5,80
6098,PGA TOUR 97,1996-01-01,Sports,0.16,0.11,0,0.02,0.29,,,,
6099,BRATZ: SUPER BABYZ,2008-01-01,Action,0.26,0,0,0.02,0.29,,,,
6100,BATTLE & GET! POKEMON TYPING DS,2011-01-01,Misc,0,0,0.29,0,0.29,,,,
6101,KUNG ZHU,2010-01-01,Action,0.26,0,0,0.02,0.29,,,,
6102,EARTHWORM JIM,2001-01-01,Platform,0.2,0.08,0,0.01,0.29,7.2,E,5.9,72
6110,SINGSTAR COUNTRY,2008-01-01,Misc,0.14,0.11,0,0.04,0.28,,,,
6111,DEATHSMILES,2009-01-01,Shooter,0.15,0.06,0.05,0.02,0.28,8,T,7,78
6112,VMX RACING,1997-01-01,Racing,0.16,0.11,0,0.02,0.28,,,,
6113,MAD MAX (2015),2012-01-01,Sports,0.58,0.74,0.04,0.21,1.57,,,,
6115,DRAGON BALL GT: TRANSFORMATION,2005-01-01,Action,0.2,0.08,0,0.01,0.28,7.7,E10,7.9,69
6116,BRATZ PONYZ,2007-01-01,Adventure,0.26,0,0,0.02,0.28,,,,
6117,SUPER FIRE PROWRESTLING X,1995-01-01,Fighting,0,0,0.28,0,0.28,,,,
6118,BABY PALS,2007-01-01,Simulation,0.26,0.01,0,0.02,0.28,,,,
6124,SHADOW HEARTS,2001-01-01,Role-Playing,0.09,0.07,0.1,0.02,0.28,7,M,8.9,73
6125,NHL 2K11,2010-01-01,Sports,0.24,0.02,0,0.02,0.28,6.3,E10,5.8,62
6128,ARMY MEN: SARGE'S HEROES,2002-01-01,Sports,0.99,0.33,0,0.05,1.37,4.2,T,7.3,60
6129,YU-GI-OH! DOUBLE PACK,2006-01-01,Role-Playing,0.2,0.08,0,0.01,0.28,,,,
6130,X-MEN: REIGN OF APOCALYPSE,2001-01-01,Action,0.2,0.08,0,0.01,0.28,,,,
6133,NETSU CHU! PRO YAKYUU 2003,2003-01-01,Sports,0,0,0.28,0,0.28,,,,
6135,DIGIMON ADVENTURE: ANODE TAMER,1999-01-01,Role-Playing,0,0,0.28,0,0.28,,,,
6136,FANTASTIC 4: FLAME ON,2005-01-01,Action,0.2,0.08,0,0.01,0.28,,,,
6137,SIREN: BLOOD CURSE,2008-01-01,Action,0,0.17,0.09,0.02,0.28,8.3,M,8.1,78
6139,CHROMEHOUNDS,2006-01-01,Simulation,0.24,0,0.01,0.02,0.28,6.4,T,7,71
6143,ASSASSIN'S CREED II: DISCOVERY,2009-01-01,Action,0.15,0.11,0,0.03,0.28,7.3,T,7.3,69
6145,NHL 13,2006-01-01,Adventure,0.84,0.33,0,0.15,1.32,8.2,E10,6.6,83
6146,FINAL FANTASY VI ADVANCE,2006-01-01,Role-Playing,0,0,0.28,0.01,0.28,9.1,E10,9.3,92
6147,POLARIS,1982-01-01,Action,0.26,0.02,0,0,0.28,,,,
6152,ARCADE HITS: FRISKY TOM,2002-01-01,Action,0.16,0.11,0,0.02,0.28,,,,
6156,KUNG FU CHAOS,2003-01-01,Fighting,0.21,0.06,0,0.01,0.28,7,T,8.5,68
6157,MEGA MAN: DR. WILY'S REVENGE,1991-01-01,Platform,0,0,0.28,0,0.28,,,,
6158,YU-GI-OH! WORLD CHAMPIONSHIP 2008,2007-01-01,Strategy,0.13,0.02,0.12,0.01,0.28,,,,
6160,GODZILLA: DOMINATION!,2002-01-01,Fighting,0.2,0.07,0,0.01,0.28,4.7,E,,
6162,TALES OF THE WORLD: RADIANT MYTHOLOGY 3,2011-01-01,Role-Playing,0,0,0.28,0,0.28,,,,
6163,FAMISTA '92,1991-01-01,Sports,0,0,0.28,0,0.28,,,,
6164,JISSEN PACHI-SLOT HISSHOUHOU! MOUJUU-OH S,2002-01-01,Misc,0,0,0.28,0,0.28,,,,
6166,MEGA MAN II,1991-01-01,Platform,0,0,0.28,0,0.28,,,,
6167,LORD OF DARKNESS,1991-01-01,Action,0,0,0.28,0,0.28,,,,
