rank,name,platform,year,genre,na_sales,eu_sales,jp_sales,other_sales,global_sales,publisher,critic_score,user_score,crtic_esrb_rating,user_esrb_rating
1844,Need for Speed: ProStreet,Wii,2007,Racing,0.54,0.46,0,0.12,1.11,Electronic Arts,5.6,,E,
1845,Pikmin 3,WiiU,2013,Strategy,0.45,0.31,0.29,0.06,1.11,Nintendo,8.7,,E10,
1846,Legend of Mana,PS,1999,Role-Playing,0.18,0.13,0.73,0.07,1.11,SquareSoft,7.8,,T,
1847,Lumines: Puzzle Fusion,PSP,2004,Puzzle,0.52,0.35,0,0.23,1.11,Ubisoft,9.1,,E10,
1848,Toy Story 3: The Video Game,PS3,2010,Action,0.51,0.42,0,0.17,1.11,Disney Interactive Studios,7.5,,E10,
1849,Guitar Hero 5,PS3,2009,Misc,0.53,0.4,0,0.17,1.1,Activision,8.8,,T,
1852,The Legend of Zelda: Tri Force Heroes,3DS,2015,Action,0.52,0.33,0.17,0.08,1.1,Nintendo,7.4,,E,
1857,WWE SmackDown vs. Raw 2011,PS3,2010,Fighting,0.44,0.46,0.01,0.18,1.1,THQ,7.1,,T,
1859,Lode Runner,NES,1984,Puzzle,0,0,1.1,0,1.1,Hudson Soft,7,,E,
1862,F-Zero X,N64,1998,Racing,0.45,0.33,0.29,0.03,1.1,Nintendo,6.8,,E,
1868,Tales of Symphonia,GC,2003,Role-Playing,0.54,0.21,0.31,0.04,1.1,Nintendo,8.5,,T,
1869,Untold Legends: Brotherhood of the Blade,PSP,2005,Role-Playing,0.54,0.33,0.01,0.22,1.1,Activision,6.5,,T,
1870,Star Ocean: The Second Story,PS,1998,Role-Playing,0.26,0.1,0.72,0.02,1.1,Sony Computer Entertainment,8.2,,E,
1872,Star Wars: The Force Unleashed,PSP,2008,Action,0.43,0.41,0,0.25,1.09,LucasArts,6.8,7.4,T,T
1874,The Simpsons Game,PSP,2007,Action,0.24,0.55,0,0.31,1.09,Electronic Arts,6,,T,
1875,Yakuza 2,PS2,2006,Adventure,0.05,0.04,0.84,0.16,1.09,Sega,7.9,,M,
1876,Skate 2,X360,2009,Sports,0.82,0.17,0.01,0.09,1.09,Electronic Arts,8.2,,T,
1877,Dragon Ball Z: The Legacy of Goku II,GBA,2003,Role-Playing,0.78,0.29,0,0.02,1.09,Atari,7.6,,E,
1878,Virtua Fighter 5,PS3,2007,Fighting,0.29,0.52,0.08,0.2,1.09,Sega,8.7,,T,
1879,NFL 2K1,DC,2000,Sports,1.02,0.05,0,0.02,1.09,Sega,9.6,,E,
1881,Namco Museum Battle Collection,PSP,2005,Misc,0.75,0.18,0,0.16,1.09,Sony Computer Entertainment,7.9,,E10,
1882,LEGO Star Wars II: The Original Trilogy,DS,2006,Action,0.96,0.04,0,0.08,1.09,LucasArts,4.9,,E,
1883,Madden NFL 2004,XB,2003,Sports,1.02,0.02,0,0.05,1.09,Electronic Arts,9.2,,E,
1884,Empire: Total War,PC,2009,Strategy,0.01,0.97,0,0.11,1.09,Sega,8.9,,T,
1886,Tiger Woods PGA Tour 10,Wii,2009,Sports,0.61,0.37,0,0.11,1.09,Electronic Arts,8.1,,E,
1889,Dante's Inferno,PS3,2010,Action,0.64,0.28,0.04,0.13,1.09,Electronic Arts,4.5,8.3,M,M
1892,Endless Ocean,Wii,2007,Adventure,0.44,0.47,0.09,0.09,1.09,Nintendo,6.8,,E,
1893,NFL Blitz 2000,PS,1998,Sports,0.6,0.41,0,0.07,1.09,Midway Games,8.7,,E,
1894,Sonic Free Riders,X360,2010,Racing,0.74,0.26,0,0.09,1.09,Sega,4.9,,E,
1896,Prince of Persia,PS3,2008,Action,0.47,0.41,0.03,0.18,1.08,Ubisoft,8.2,6,T,T
1898,Grand Theft Auto V,PC,2015,Action,0.36,0.64,0,0.08,1.08,Take-Two Interactive,9,9,M,M
1899,The Biggest Loser,Wii,2009,Sports,0.87,0.12,0,0.09,1.08,THQ,7.7,,E,
1901,MySims Agents,DS,2009,Adventure,0.55,0.43,0,0.11,1.08,Electronic Arts,7.5,,E,
1902,Resident Evil: The Darkside Chronicles,Wii,2009,Action,0.48,0.32,0.2,0.09,1.08,Capcom,7.2,,M,
1903,NCAA Football 13,X360,2012,Action,1.02,0,0,0.06,1.08,Electronic Arts,7.1,,E,
1904,Grand Theft Auto: Chinatown Wars,PSP,2009,Action,0.28,0.5,0.03,0.28,1.08,Take-Two Interactive,9.2,9.6,M,M
1905,FIFA Soccer 11,Wii,2010,Sports,0.26,0.69,0,0.12,1.08,Electronic Arts,7,,E,
1906,The Orange Box,PS3,2007,Shooter,0.28,0.59,0,0.22,1.08,Electronic Arts,8.7,,M,
1907,Joust,2600,1982,Platform,1.01,0.06,0,0.01,1.08,Atari,7.4,,E,
1908,Tomb Raider: Underworld,X360,2008,Action,0.53,0.43,0.01,0.11,1.08,Eidos Interactive,6.3,,T,
1909,Tom Clancy's Ghost Recon 2,PS2,2004,Shooter,0.64,0.34,0,0.1,1.08,Ubisoft,5.7,,T,
1910,DiRT 3,PS3,2011,Racing,0.27,0.59,0.01,0.21,1.08,Codemasters,9,,T,
1911,LEGO City Undercover,WiiU,2013,Platform,0.47,0.4,0.13,0.08,1.08,Nintendo,7.5,,E10,
1912,Spore Creatures,DS,2008,Simulation,0.67,0.3,0,0.11,1.08,Electronic Arts,7.2,,E,
1913,Ready 2 Rumble Boxing,PS,1998,Sports,0.6,0.41,0,0.07,1.08,Midway Games,6,,E,
1914,Dragon Ball Z: Taiketsu,GBA,2003,Fighting,0.77,0.29,0,0.02,1.08,Atari,3.8,,T,
1915,Disney's Lilo & Stitch,GBA,2002,Platform,0.77,0.29,0,0.02,1.08,Ubisoft,8,,E,
1916,Star Fox: Assault,GC,2005,Shooter,0.68,0.18,0.19,0.03,1.08,Nintendo,6.6,8.5,T,T
1917,Naruto: Ultimate Ninja Storm,PS3,2008,Fighting,0.49,0.35,0.09,0.16,1.08,Namco Bandai Games,7.8,,T,
1918,Marvel vs. Capcom 3: Fate of Two Worlds,X360,2011,Fighting,0.79,0.18,0.03,0.07,1.08,Capcom,8.2,,T,
1919,NCAA Football 14,X360,2013,Sports,1.01,0,0,0.06,1.07,Electronic Arts,7.6,,E,
1921,Call of Duty 3,PS2,2006,Shooter,0.89,0.03,0,0.15,1.07,Activision,6.8,7.3,T,T
1923,Red Dead Redemption: Undead Nightmare,X360,2010,Action,0.57,0.39,0.02,0.09,1.07,Take-Two Interactive,10,,M,
1924,Bully: Scholarship Edition,X360,2008,Action,0.53,0.4,0.03,0.11,1.07,Take-Two Interactive,6.6,,T,
1925,Virtua Fighter,SAT,1994,Fighting,0.17,0.12,0.77,0.02,1.07,Sega,7.4,,T,
1927,WWE SmackDown vs. Raw 2010,PS2,2009,Fighting,0.53,0.01,0,0.54,1.07,THQ,7.8,,T,
1928,Pro Evolution Soccer 2008,X360,2007,Sports,0.08,0.9,0.04,0.05,1.07,Konami Digital Entertainment,7.1,,E,
1929,Super Princess Peach,DS,2005,Platform,0.72,0.06,0.21,0.07,1.07,Nintendo,7.8,,E,
1931,SoulCalibur III,PS2,2005,Fighting,0.74,0.15,0.13,0.05,1.07,Namco Bandai Games,8.5,,T,
1932,Skylanders SWAP Force,PS3,2013,Platform,0.43,0.44,0,0.2,1.07,Activision,7.7,,E10,
1933,F1 2012,PS3,2012,Racing,0.12,0.64,0.05,0.25,1.07,Codemasters,7.9,,E,
1934,World Tour Soccer,PSP,2005,Sports,0.1,0.63,0,0.34,1.07,Sony Computer Entertainment,7,,E,
1935,Disney Universe,Wii,2011,Action,0.67,0.3,0,0.1,1.07,Disney Interactive Studios,6.7,,E10,
1937,LEGO Pirates of the Caribbean: The Video Game,X360,2011,Action,0.54,0.42,0,0.1,1.07,Disney Interactive Studios,6.8,,E10,
1940,Mortal Kombat: Armageddon,PS2,2006,Fighting,0.88,0.04,0,0.14,1.06,Midway Games,6.8,,M,
1941,Aliens vs Predator,X360,2010,Shooter,0.55,0.4,0,0.11,1.06,Sega,6,,M,
1942,Freekstyle,PS2,2002,Racing,0.52,0.41,0,0.14,1.06,Electronic Arts,7.2,,E,
1944,Darksiders,X360,2010,Action,0.67,0.29,0.01,0.1,1.06,THQ,7.8,8.5,M,M
1945,DiRT,PS3,2007,Racing,0.16,0.67,0,0.23,1.06,Codemasters,8.3,,E,
1946,Call of Duty 4: Modern Warfare,DS,2007,Shooter,0.96,0.02,0.01,0.08,1.06,Activision,7.3,9,T,M
1948,Sega Superstars Tennis,Wii,2008,Sports,0.28,0.65,0,0.13,1.06,Sega,6.2,,E,
1950,Sleeping Dogs,PS3,2012,Action,0.31,0.5,0.05,0.19,1.06,Square Enix,7.9,,M,
1951,Mercenaries 2: World in Flames,X360,2008,Shooter,0.65,0.3,0.01,0.1,1.06,Electronic Arts,6,,T,
1952,Worms Armageddon,PS,1999,Strategy,0.18,0.81,0,0.08,1.06,Microprose,8.4,,E,
1953,Hulk,PS2,2003,Action,0.52,0.41,0,0.14,1.06,Universal Interactive,7.3,,T,
1954,LEGO Indiana Jones: The Original Adventures,PS3,2008,Action,0.44,0.44,0,0.18,1.06,Activision,7.5,,E10,
1955,NFL Blitz,N64,1998,Sports,1.02,0.04,0,0.01,1.06,Midway Games,9.1,,E,
1957,DJ Hero,X360,2009,Misc,0.56,0.4,0,0.11,1.06,Activision,8.3,,T,
1961,Spider-Man 2,GBA,2004,Action,0.76,0.28,0,0.02,1.06,Activision,4.5,,E,
1963,Seek and Destroy,PS2,2002,Racing,0.52,0.4,0,0.14,1.06,Play It,5.6,,T,
1964,Warhawk,PS3,2007,Simulation,0.49,0.39,0,0.17,1.06,Sony Computer Entertainment,8.4,,T,
1965,Apollo Justice: Ace Attorney,DS,2007,Adventure,0.32,0.06,0.64,0.04,1.06,Capcom,8,,T,
1968,SOCOM: U.S. Navy SEALs Fireteam Bravo 2,PSP,2006,Shooter,0.81,0.11,0,0.13,1.05,Sony Computer Entertainment,8.2,,T,
1970,Aliens vs Predator,PS3,2010,Shooter,0.41,0.47,0,0.18,1.05,Sega,6,,M,
1971,Defender,2600,1980,Misc,0.99,0.05,0,0.01,1.05,Atari,3.5,,E,
1980,The Simpsons: Road Rage,XB,2001,Racing,0.78,0.26,0,0.01,1.05,Electronic Arts,6,,T,
1981,Dave Mirra Freestyle BMX,PS,2000,Sports,0.91,0.11,0,0.03,1.05,Acclaim Entertainment,7.1,,E,
1983,WWE SmackDown vs. Raw 2010,X360,2009,Fighting,0.56,0.38,0.01,0.11,1.05,THQ,7.8,,T,
1984,Forza Motorsport,XB,2005,Racing,0.52,0.51,0,0.02,1.05,Microsoft Game Studios,9.2,,E,
1985,Sonic the Hedgehog,X360,2006,Platform,0.44,0.49,0,0.11,1.05,Sega,7.7,,E,
1986,MySims Agents,Wii,2009,Adventure,0.62,0.32,0,0.1,1.05,Electronic Arts,7.5,,E,
1989,The Simpsons Game,X360,2007,Action,0.54,0.4,0,0.11,1.05,Electronic Arts,6,,T,
1992,Legacy of Kain: Soul Reaver,PS,N/A,Action,0.58,0.4,0,0.07,1.04,Eidos Interactive,8.9,,M,
1993,Dragon Ball Z: Budokai Tenkaichi 3,Wii,2007,Fighting,0.33,0.37,0.26,0.09,1.04,Atari,7.5,8.6,T,T
1995,Tales of Destiny,PS,1997,Role-Playing,0.09,0.06,0.83,0.07,1.04,Namco Bandai Games,6.2,,T,
1996,ATV: Quad Power Racing,PS,2000,Racing,0.58,0.39,0,0.07,1.04,Acclaim Entertainment,5.5,,E,
1999,Naruto: Clash of Ninja 2,GC,2003,Fighting,0.44,0.12,0.45,0.03,1.04,Nintendo,7.4,,T,
2001,Brink,X360,2011,Shooter,0.59,0.35,0.01,0.09,1.04,Bethesda Softworks,6.8,,T,
2002,F-Zero: Maximum Velocity,GBA,2001,Racing,0.39,0.16,0.37,0.12,1.04,Nintendo,8.7,,E,
2003,Bomberman 64,N64,1997,Puzzle,0.5,0.2,0.31,0.03,1.04,Hudson Soft,6.1,,E,
2005,LEGO Indiana Jones 2: The Adventure Continues,X360,2009,Action,0.62,0.33,0,0.09,1.04,Activision,5.2,,E10,
2007,Need for Speed: Most Wanted,XB,2005,Racing,0.53,0.46,0,0.05,1.04,Electronic Arts,8.3,,T,
2008,Kirby: Mass Attack,DS,2011,Platform,0.52,0.06,0.41,0.05,1.04,Nintendo,8.4,,E,
2011,Tom Clancy's Ghost Recon Advanced Warfighter 2,PS3,2007,Shooter,0.34,0.48,0.02,0.19,1.04,Ubisoft,6.3,,T,
2012,MotorStorm: Arctic Edge,PSP,2009,Racing,0.16,0.58,0,0.3,1.04,Sony Computer Entertainment,7.4,,T,
2013,WipEout Pure,PSP,2005,Racing,0.47,0.34,0,0.22,1.04,Sony Computer Entertainment,9.1,,E,
2016,Sonic Unleashed,PS3,2008,Platform,0.56,0.33,0.01,0.14,1.03,Sega,5.3,8.2,E10,E10
2017,Tiger Woods PGA Tour 08,Wii,2007,Sports,0.94,0.02,0,0.08,1.03,Electronic Arts,7.4,,E,
2018,Rayman Origins,PS3,2011,Platform,0.33,0.51,0.01,0.18,1.03,Ubisoft,8.5,,E10,
2022,Bomberman,NES,1985,Puzzle,0.18,0,0.85,0,1.03,Hudson Soft,5.4,,E,
2023,The Simpsons Game,Wii,2007,Action,0.45,0.47,0,0.11,1.03,Electronic Arts,6,,T,
2024,Tomb Raider,PC,1996,Action,0.96,0.07,0,0,1.03,Eidos Interactive,5,,T,
2025,Rock Band 2,Wii,2008,Misc,0.94,0.01,0,0.08,1.03,MTV Games,7.9,,T,
2026,Street Fighter Alpha 3,PS,1998,Fighting,0.38,0.12,0.51,0.02,1.03,Virgin Interactive,8.4,,T,
2027,Bulletstorm,X360,2011,Shooter,0.61,0.32,0.01,0.08,1.02,Electronic Arts,8.3,,M,
2028,FIFA Soccer 08,Wii,2007,Sports,0.32,0.59,0.01,0.11,1.02,Electronic Arts,7.9,,E,
2030,Tom Clancy's Ghost Recon Advanced Warfighter 2,X360,2007,Shooter,0.87,0.05,0.02,0.08,1.02,Ubisoft,6.3,,T,
2031,ZombiU,WiiU,2012,Action,0.53,0.36,0.05,0.08,1.02,Ubisoft,6.9,,M,
2032,Shrek 2,GC,2004,Platform,0.73,0.26,0.01,0.03,1.02,Activision,4.6,,E,
2036,Wall-E,Wii,2008,Platform,0.51,0.4,0,0.11,1.02,THQ,5.3,,E,
2038,Ace Combat 6: Fires of Liberation,X360,2007,Simulation,0.69,0.04,0.22,0.06,1.02,Atari,8.1,,T,
2039,Madden NFL 07,XB,2006,Sports,0.97,0.03,0,0.03,1.02,Electronic Arts,6.9,,E,
2040,Disney Infinity 2.0: Marvel Super Heroes,PS3,2014,Action,0.44,0.4,0,0.17,1.02,Disney Interactive Studios,8,,E10,
2041,Harry Potter and the Prisoner of Azkaban,PS2,2004,Action,0.5,0.39,0,0.13,1.02,Electronic Arts,7,,E,
2043,Bayonetta 2,WiiU,2014,Action,0.34,0.28,0.1,0.3,1.01,Nintendo,9.3,,M,
2044,Prince of Persia,X360,2008,Action,0.54,0.35,0.02,0.1,1.01,Ubisoft,8.2,6,T,T
2045,God of War: Ghost of Sparta,PSP,2010,Action,0.41,0.36,0.03,0.21,1.01,Sony Computer Entertainment,8.3,,M,
2046,Sonic Generations,3DS,2011,Platform,0.44,0.46,0.01,0.09,1.01,Sega,6.3,,E,
2047,Ninja Gaiden II,X360,2008,Action,0.65,0.22,0.05,0.1,1.01,Tecmo Koei,8.2,,M,
2050,Guitar Hero: Warriors of Rock,Wii,2010,Misc,0.48,0.44,0,0.09,1.01,Activision,7.1,,T,
2053,The LEGO Movie Videogame,PS3,2014,Action,0.33,0.48,0.02,0.18,1.01,Warner Bros. Interactive Entertainment,6,,E10,
2054,DiRT 2,PS3,2009,Racing,0.27,0.53,0,0.2,1.01,Codemasters,4.6,,E10,
2055,Rayman Legends,PS4,2014,Platform,0.21,0.61,0,0.18,1.01,Ubisoft,4.5,,E10,
2056,NERF N-Strike Elite,Wii,2009,Shooter,0.93,0,0,0.07,1,Electronic Arts,7.5,,E10,
2058,Breath of Fire III,PS,1997,Role-Playing,0.29,0.19,0.46,0.07,1,Capcom,7.6,,T,
2059,PES 2009: Pro Evolution Soccer,X360,2008,Sports,0.13,0.76,0.03,0.09,1,Konami Digital Entertainment,7.3,,E,
2060,Dead or Alive 2,PS2,2000,Fighting,0.3,0.24,0.38,0.08,1,Tecmo Koei,9,,T,
2062,Excitebike 64,N64,2000,Racing,0.65,0.15,0.19,0.01,1,Nintendo,8.9,,E,
2066,SoulCalibur II,XB,2003,Fighting,0.78,0.18,0.03,0,1,Namco Bandai Games,9.1,,T,
2067,Haze,PS3,2008,Shooter,0.49,0.33,0.02,0.15,1,Ubisoft,5.6,,M,
2075,Zoo Tycoon DS,DS,2005,Strategy,0.86,0.04,0.01,0.08,1,THQ,4.6,,E,
2076,Rocksmith 2014,PS3,2013,Misc,0.51,0.27,0.05,0.15,1,Ubisoft,8.4,,T,
2079,Disney Infinity,PS3,2013,Action,0.48,0.35,0,0.16,1,Disney Interactive Studios,7.6,,E10,
2080,Dark Souls,X360,2011,Role-Playing,0.64,0.28,0,0.08,1,Namco Bandai Games,9,,M,
2084,Phoenix Wright: Ace Attorney,DS,2005,Adventure,0.49,0.07,0.39,0.05,0.99,Capcom,6.7,,T,
2086,The Simpsons: Hit & Run,GC,2003,Racing,0.77,0.2,0,0.03,0.99,Vivendi Games,7.7,,T,
2088,LEGO Harry Potter: Years 5-7,X360,N/A,Action,0.51,0.39,0,0.09,0.99,Warner Bros. Interactive Entertainment,9,,E10,
2089,Tom Clancy's Splinter Cell: Blacklist,X360,2013,Action,0.57,0.34,0.01,0.08,0.99,Ubisoft,8.3,,M,
2090,Ace Combat X: Skies of Deception,PSP,2006,Simulation,0.37,0.31,0.12,0.19,0.99,Namco Bandai Games,7.6,,T,
2091,NCAA Football 12,X360,2011,Sports,0.94,0,0,0.06,0.99,Electronic Arts,7.7,,E,
2092,LEGO Pirates of the Caribbean: The Video Game,PS3,2011,Action,0.36,0.46,0,0.17,0.99,Disney Interactive Studios,6.8,,E10,
2093,Band Hero,Wii,2009,Misc,0.6,0.3,0,0.09,0.99,Activision,6,,E10,
2095,Oddworld: Abe's Exoddus,PS,1998,Platform,0.55,0.38,0,0.06,0.99,GT Interactive,8.3,,T,
2096,EyePet,PS3,2009,Simulation,0.35,0.52,0.04,0.09,0.99,Sony Computer Entertainment,4.9,,E,
2098,Midnight Club: LA Remix,PSP,2008,Racing,0.52,0.28,0,0.19,0.99,Take-Two Interactive,7.7,,T,
2101,WWE SmackDown vs Raw 2008,Wii,2007,Fighting,0.38,0.5,0,0.11,0.99,THQ,7.3,,T,
2102,FIFA Soccer 10,Wii,2009,Sports,0.23,0.65,0,0.11,0.99,Electronic Arts,7.9,,E,
2103,Shadow The Hedgehog,GC,2005,Platform,0.76,0.2,0,0.03,0.99,Sega,4.8,,E10,
2105,Fallout 3,PC,2008,Role-Playing,0.02,0.88,0,0.08,0.99,Bethesda Softworks,8.8,8.6,M,M
2106,Cars,DS,2006,Racing,0.85,0.05,0,0.08,0.98,THQ,4.5,,E,
2107,Pro Evolution Soccer 2008,PSP,2008,Sports,0.02,0.53,0.19,0.25,0.98,Konami Digital Entertainment,7.1,,E,
2109,Xenoblade Chronicles,Wii,2010,Role-Playing,0.49,0.26,0.16,0.08,0.98,Nintendo,8.6,,T,
2110,Just Dance 2014,X360,2013,Misc,0.72,0.19,0,0.07,0.98,Ubisoft,7.4,,E10,
2116,Suikoden III,PS2,N/A,Role-Playing,0.29,0.23,0.38,0.08,0.98,Unknown,8.6,,T,
2117,Kingdom Hearts Re:coded,DS,2010,Role-Playing,0.56,0.1,0.27,0.05,0.98,Square Enix,6.8,,E10,
2119,Driver: San Francisco,PS3,2011,Racing,0.24,0.54,0.01,0.18,0.98,Ubisoft,7,,T,
2120,Sniper Elite V2,PS3,2012,Shooter,0.38,0.39,0.06,0.15,0.98,505 Games,6,,M,
2121,Far Cry 4,X360,2014,Shooter,0.45,0.44,0,0.08,0.98,Ubisoft,8.4,,M,
2122,Grand Theft Auto: San Andreas,PC,2005,Action,0,0.92,0,0.05,0.98,Take-Two Interactive,9.2,,M,
2123,Tom Clancy's Splinter Cell: Blacklist,PS3,2013,Action,0.34,0.41,0.06,0.18,0.98,Ubisoft,8.3,,M,
2124,Pro Evolution Soccer 2014,PS3,2013,Action,0.03,0.43,0.51,0.01,0.98,Konami Digital Entertainment,7.9,,E,
2125,Madden NFL 16,X360,2015,Sports,0.82,0.05,0,0.1,0.98,Electronic Arts,8,,E,
2126,Madden NFL 10,PS2,2009,Sports,0.88,0,0,0.1,0.98,Electronic Arts,7.5,,E,
2127,Brutal Legend,X360,2009,Action,0.62,0.27,0,0.09,0.98,Electronic Arts,7.9,,M,
2130,Madden NFL 08,PS3,2007,Sports,0.89,0.01,0,0.08,0.97,Electronic Arts,7.3,,E,
2131,de Blob,Wii,2008,Platform,0.5,0.37,0,0.1,0.97,THQ,8.1,8,E,E
2133,Mass Effect 3,PC,2012,Role-Playing,0.4,0.44,0,0.13,0.97,Electronic Arts,9.2,,M,
2134,NBA 2K10,X360,2009,Sports,0.88,0.02,0,0.08,0.97,Take-Two Interactive,5.1,,E,
2135,Fire Emblem,GBA,2003,Strategy,0.49,0.18,0.29,0.01,0.97,Nintendo,8.8,,E,
2136,Yakuza 4,PS3,N/A,Action,0.15,0.14,0.63,0.05,0.97,Sega,7.7,,M,
2137,Skylanders: Spyro's Adventure,X360,2011,Action,0.53,0.35,0,0.1,0.97,Activision,8,,E10,
2140,Grand Theft Auto: Vice City Stories,PS2,2007,Action,0.78,0.03,0.03,0.13,0.97,Take-Two Interactive,8.4,,M,
2141,NBA 2K16,X360,2015,Sports,0.77,0.1,0,0.1,0.97,Take-Two Interactive,8.3,,E10,
2142,FIFA Soccer 2005,XB,2004,Sports,0.33,0.6,0,0.04,0.97,Electronic Arts,8.1,,E,
2144,Romancing SaGa,SNES,1992,Role-Playing,0,0,0.97,0,0.97,SquareSoft,6,,E10,
2146,LEGO Star Wars II: The Original Trilogy,GC,2006,Action,0.75,0.19,0,0.03,0.97,LucasArts,4.9,,E,
2147,LEGO Harry Potter: Years 5-7,PS3,N/A,Action,0.36,0.45,0,0.16,0.97,Warner Bros. Interactive Entertainment,9,,E10,
2150,The Sims 2,DS,2005,Simulation,0.82,0.07,0,0.07,0.96,Electronic Arts,6.2,,T,
2151,Dark Cloud 2,PS2,2002,Role-Playing,0.38,0.25,0.26,0.07,0.96,Sony Computer Entertainment,8.6,,T,
2157,LEGO Pirates of the Caribbean: The Video Game,DS,2011,Action,0.37,0.49,0,0.1,0.96,Disney Interactive Studios,6.8,,E10,
2158,Gangs of London,PSP,2006,Adventure,0.3,0.44,0,0.22,0.96,Sony Computer Entertainment,5,,M,
2161,Sonic Unleashed,X360,2008,Platform,0.54,0.33,0,0.09,0.96,Sega,5.3,8.2,E10,E10
2162,Lost Planet 2,PS3,2010,Shooter,0.29,0.34,0.2,0.13,0.96,Capcom,6.5,,T,
2168,Shinobi,PS2,2002,Platform,0.36,0.28,0.22,0.09,0.96,Sony Computer Entertainment,7,,T,
2169,Mortal Kombat: Deadly Alliance,XB,2002,Fighting,0.77,0.15,0,0.04,0.96,Midway Games,8.2,,M,
2170,The Witcher 2: Assassins of Kings,PC,2011,Action,0.25,0.56,0,0.15,0.96,Namco Bandai Games,8.8,,M,
2171,PilotWings Resort,3DS,2011,Simulation,0.4,0.36,0.13,0.07,0.96,Nintendo,6.9,,E,
2177,Tom Clancy's Splinter Cell: Chaos Theory,PS2,2005,Action,0.36,0.45,0,0.14,0.95,Ubisoft,7.8,,M,
2178,SpongeBob SquarePants: Battle for Bikini Bottom,GC,2003,Platform,0.74,0.19,0,0.03,0.95,THQ,5.8,,E,
2180,Ben 10: Alien Force,DS,2008,Action,0.65,0.22,0,0.09,0.95,Koch Media,5.2,,E10,
2182,Cars 2,Wii,2011,Racing,0.46,0.39,0,0.1,0.95,Disney Interactive Studios,6.5,,E,
2183,Wild ARMs,PS,1996,Role-Playing,0.26,0.17,0.46,0.06,0.95,Sony Computer Entertainment,8.9,,E,
2187,Brutal Legend,PS3,2009,Action,0.54,0.28,0,0.13,0.95,Electronic Arts,7.9,,M,
2188,Skylanders: Spyro's Adventure,PS3,2011,Action,0.39,0.4,0,0.16,0.95,Activision,8,,E10,
2189,Guitar Hero: Metallica,Wii,2009,Misc,0.41,0.43,0,0.1,0.95,Activision,8.5,,T,
2191,WWE SmackDown vs. Raw 2009,PS3,2008,Fighting,0.51,0.31,0.01,0.13,0.95,THQ,7.8,,T,
2192,Army of Two: The 40th Day,X360,2010,Shooter,0.62,0.24,0,0.08,0.95,Electronic Arts,4.8,,M,
2193,Tony Hawk: RIDE,Wii,2009,Sports,0.7,0.17,0,0.08,0.95,Activision,4.3,,E10,
2194,Lego Batman 3: Beyond Gotham,X360,2014,Action,0.48,0.38,0,0.08,0.95,Warner Bros. Interactive Entertainment,7.4,,E10,
2195,Wii Play: Motion,Wii,2011,Misc,0.24,0.43,0.18,0.09,0.95,Nintendo,5.2,,E10,
2196,Killzone,PS2,2004,Shooter,0.79,0.03,0,0.13,0.94,Sony Computer Entertainment,6.8,,M,
2197,The Tomb Raider Trilogy,PS3,2011,Action,0.27,0.5,0,0.17,0.94,Square Enix,8.5,,T,
2199,Star Fox 64 3D,3DS,2011,Shooter,0.48,0.27,0.13,0.07,0.94,Nintendo,8,,E10,
2200,The SpongeBob SquarePants Movie,GC,2004,Platform,0.73,0.19,0,0.03,0.94,THQ,6,,E,
2201,Rocksmith 2014,X360,2013,Misc,0.69,0.17,0,0.08,0.94,Ubisoft,8.4,,T,
2203,Cars,Wii,2006,Racing,0.83,0.04,0,0.07,0.94,THQ,4.5,,E,
2204,Assassin's Creed III,PC,2012,Action,0.28,0.53,0,0.13,0.94,Ubisoft,7.7,,M,
2205,Castlevania: Lament of Innocence,PS2,2003,Action,0.46,0.36,0,0.12,0.94,Konami Digital Entertainment,8.1,,M,
2206,Mario Tennis Open,3DS,2012,Sports,0.26,0.29,0.33,0.05,0.94,Nintendo,6.6,,E,
2207,The Witcher 2: Assassins of Kings,X360,2012,Action,0.48,0.36,0.02,0.08,0.94,Namco Bandai Games,8.8,,M,
2208,Bayonetta,X360,2009,Action,0.51,0.26,0.09,0.08,0.94,Sega,8.6,7.2,M,M
2210,MVP Baseball 2005,XB,2005,Sports,0.7,0.2,0,0.03,0.94,Electronic Arts,8.7,,E,
2211,SaGa Frontier 2,PS,1999,Role-Playing,0.1,0.07,0.71,0.06,0.94,SquareSoft,7.4,,T,
2212,NCAA Football 10,X360,2009,Sports,0.87,0,0,0.07,0.94,Electronic Arts,7,,E,
2214,The Legend of Zelda: Twilight Princess HD,WiiU,2016,Action,0.48,0.3,0.08,0.08,0.94,Nintendo,8.4,,T,
2216,Prince of Persia: The Sands of Time,XB,2003,Action,0.57,0.33,0,0.04,0.94,Ubisoft,9,9.1,T,T
