metascore,name,console,userscore,date
82,BLEACH: DARK SOULS,DS,7.8,7-Oct-08
82,OUT OF THE PARK BASEBALL 9,PC,7.4,1-Jun-08
81,HOT SHOTS GOLF: OUT OF BOUNDS,PS3,8.6,18-Mar-08
81,STRONG BAD'S COOL GAME FOR ATTRACTIVE PEOPLE EPISODE 2: STRONG BADIA THE FREE,PC,7.7,15-Sep-08
81,ECHOCHROME,PS3,7.3,1-May-08
81,PERSONAL TRAINER: COOKING,DS,7.8,24-Nov-08
81,STRONG BAD'S COOL GAME FOR ATTRACTIVE PEOPLE EPISODE 4: DANGERESQUE 3: THE CRIMINAL PROJECTIVE,PC,8.5,17-Nov-08
81,LOSTWINDS,WII,3.1,12-May-08
81,NCAA FOOTBALL 09,PS3,7.2,15-Jul-08
81,POKER SMASH,X360,8.5,6-Feb-08
81,METAL GEAR ONLINE,PS3,7.7,12-Jun-08
81,TIGER WOODS PGA TOUR 09 ALL-PLAY,WII,8.7,26-Aug-08
81,NINJA GAIDEN II,X360,8,3-Jun-08
81,PRINCE OF PERSIA,X360,7.1,2-Dec-08
80,AGE OF CONAN: HYBORIAN ADVENTURES,PC,7.3,20-May-08
80,DRAGON QUEST IV: CHAPTERS OF THE CHOSEN,DS,8.1,16-Sep-08
80,SAM & MAX EPISODE 202: MOAI BETTER BLUES,PC,7.6,10-Jan-08
80,FINAL FANTASY TACTICS A2: GRIMOIRE OF THE RIFT,DS,8.7,24-Jun-08
80,ETERNAL SONATA,PS3,7.7,21-Oct-08
80,DUKE NUKEM 3D,X360,8.1,24-Sep-08
80,PURE,PC,6.9,16-Sep-08
80,BUZZ! QUIZ TV,PS3,7.1,23-Sep-08
80,PIXELJUNK EDEN,PS3,7.8,31-Jul-08
80,LUMINES SUPERNOVA,PS3,8.1,23-Dec-08
80,NINJATOWN,DS,8.3,28-Oct-08
80,GRAN TURISMO 5 PROLOGUE,PS3,7.1,15-Apr-08
80,FIFA SOCCER 09 ALL-PLAY,WII,8.4,28-Oct-08
80,LOCK'S QUEST,DS,8.5,8-Sep-08
80,ROCK BAND,WII,6.2,22-Jun-08
80,LEGO BATMAN: THE VIDEOGAME,PC,7.7,23-Sep-08
80,WII FIT,WII,7.7,19-May-08
80,FINAL FANTASY CRYSTAL CHRONICLES: MY LIFE AS A KING,WII,7,12-May-08
80,NARUTO: THE BROKEN BOND,X360,7.8,18-Nov-08
79,BROTHERS IN ARMS: HELL'S HIGHWAY,PC,7.7,7-Oct-08
79,BANJO-KAZOOIE: NUTS & BOLTS,X360,6.7,12-Nov-08
79,EUROPA UNIVERSALIS: ROME - VAE VICTIS,PC,8.6,19-Nov-08
81,NASCAR HEAT,PC,7.7,27-Sep-00
81,POKEMON PUZZLE LEAGUE,N64,8.5,1-Sep-00
81,STAR TREK: DEEP SPACE NINE: THE FALLEN,PC,7.6,15-Nov-00
81,RAILROAD TYCOON II: GOLD EDITION,DC,8.8,30-Jun-00
81,VALKYRIE PROFILE,PS,8.8,29-Aug-00
80,CAPCOM VS. SNK,DC,8.6,9-Nov-00
80,STARCRAFT 64,N64,8.2,13-Jun-00
80,JARRETT & LABONTE STOCK CAR RACING,PS,7.6,3-Oct-00
80,FUR FIGHTERS,DC,8.5,11-Jul-00
80,INCREDIBLE CRISIS,PS,7.5,6-Nov-00
80,ROLLERCOASTER TYCOON: LOOPY LANDSCAPES,PC,8.9,30-Sep-00
80,VANISHING POINT,DC,7.6,21-Dec-00
80,CHESSMASTER 8000,PC,6.7,14-Nov-00
79,TOKYO XTREME RACER 2,DC,8.6,1-Sep-00
79,SMUGGLER'S RUN,PS2,6.8,25-Oct-00
79,BUST-A-MOVE 4,DC,8.5,31-May-00
79,PARASITE EVE II,PS,9,12-Jan-00
79,SPACE EMPIRES IV,PC,8.1,7-Nov-00
79,SEGA MARINE FISHING,DC,8.5,20-Aug-00
79,CLOSE COMBAT: INVASION: NORMANDY,PC,7.6,10-Oct-00
79,SKY ODYSSEY,PS2,8.4,15-Nov-00
78,MIDNIGHT CLUB: STREET RACING,PS2,7.6,25-Oct-00
78,SWING AWAY GOLF,PS2,tbd,25-Oct-00
78,RIDGE RACER V,PS2,7.5,25-Oct-00
78,NFL BLITZ 2001,DC,8,14-Sep-00
78,MIDTOWN MADNESS 2,PC,8.7,21-Sep-00
78,NEED FOR SPEED: PORSCHE UNLEASHED,PS,8.2,29-Feb-00
78,EARTH 2150,PC,8.2,1-Dec-00
78,HEAVY METAL: F.A.K.K. 2,PC,7.6,6-Aug-00
78,STARLANCER,PC,7.4,31-Mar-00
78,ARMORED CORE 2,PS2,8.6,24-Oct-00
78,MADDEN NFL 2001,PC,5.8,24-Aug-00
78,DIRT TRACK RACING: SPRINT CARS,PC,8.7,19-Oct-00
77,GROUND CONTROL: DARK CONSPIRACY,PC,6.6,14-Dec-00
77,TENCHU 2: BIRTH OF THE STEALTH ASSASSINS,PS,8.7,7-Aug-00
77,ARMY MEN: AIR COMBAT,N64,7.8,14-Jul-00
77,TUROK 3: SHADOW OF OBLIVION,N64,7.1,30-Aug-00
77,KIRBY 64: THE CRYSTAL SHARDS,N64,8.2,26-Jun-00
77,MOTOGP,PS2,6,31-Oct-00
77,YOU DON'T KNOW JACK: 5TH DEMENTIA,PC,6.5,31-Oct-00
77,UNREAL TOURNAMENT,PS2,7.1,21-Oct-00
77,STARFLEET COMMAND VOLUME II: EMPIRES AT WAR,PC,6.8,13-Dec-00
77,DEMOLITION RACER: NO EXIT,DC,8.5,23-Oct-00
77,SIMCITY 3000 UNLIMITED,PC,8.6,16-May-00
77,DARK REIGN 2,PC,7.3,30-Jun-00
77,CLEOPATRA: QUEEN OF THE NILE,PC,7.5,11-Jul-00
76,THE DEVIL INSIDE,PC,6.9,9-Nov-00
76,STAR WARS EPISODE I: JEDI POWER BATTLES,DC,7.9,18-Oct-00
76,STAR TREK: INVASION,PS,7.5,29-Jun-00
76,MEGA MAN LEGENDS 2,PS,8.5,24-Oct-00
76,SPEED DEVILS ONLINE RACING,DC,8.1,13-Dec-00
76,RUNE 2000,PC,7.7,7-Nov-00
76,BREAKNECK 2000,PC,6.7,21-Jun-00
75,CHICKEN RUN,PS,6.6,13-Nov-00
75,INDIANA JONES AND THE INFERNAL MACHINE,N64,8.3,14-Dec-00
75,SUPER BUST-A-MOVE,PS2,tbd,26-Nov-00
75,TOM CLANCY'S RAINBOW SIX: ROGUE SPEAR,DC,7.5,20-Nov-00
75,KESSEN,PS2,8.4,13-Nov-00
75,DYNASTY WARRIORS 2,PS2,8.8,25-Oct-00
75,X-MEN: MUTANT ACADEMY,PS,7.7,11-Jul-00
75,AIRFIX DOGFIGHTER,PC,8.1,14-Jan-00
74,THE LEGEND OF DRAGOON,PS,9.3,11-Jun-00
74,STAR TREK: KLINGON ACADEMY,PC,7.2,21-Jun-00
74,AEROWINGS 2: AIR STRIKE,DC,7.7,27-Aug-00
74,VAMPIRE: THE MASQUERADE - REDEMPTION,PC,8.3,7-Jun-00
74,DELTA FORCE: LAND WARRIOR,PC,7.7,7-Nov-00
74,ARMY MEN: AIR ATTACK 2,PS,5.8,26-Sep-00
73,RED DOG: SUPERIOR FIREPOWER,DC,7.5,31-Oct-00
73,DEATH TRACK RACING,PC,6.6,10-Oct-00
73,SANITY: AIKEN'S ARTIFACT,PC,7.7,26-Sep-00
73,CANNON SPIKE,DC,8.2,14-Nov-00
73,BLAIR WITCH VOLUME I: RUSTIN PARR,PC,7.9,4-Oct-00
73,SHEEP,PC,7.4,29-Nov-00
73,NFL GAMEDAY 2001,PS,tbd,30-Oct-00
73,4X4 EVOLUTION,PC,6.4,29-Oct-00
73,ESPN WINTER X-GAMES SNOWBOARDING,PS2,tbd,24-Oct-00
73,GUNGRIFFON BLAZE,PS2,tbd,24-Oct-00
73,HITMAN: CODENAME 47,PC,7.5,19-Nov-00
73,SUPERCROSS,PS,tbd,21-Nov-00
73,MOTOCROSS MANIA,PC,6.8,14-Nov-00
73,MS. PAC-MAN MAZE MADNESS,DC,6.4,13-Nov-00
73,NASCAR 2001,PS,6.1,19-Sep-00
72,CALL TO POWER II,PC,7.2,17-Nov-00
72,SPIDER-MAN,N64,6.9,21-Nov-00
72,RC REVENGE,PS,tbd,16-Aug-00
72,ESPN INTERNATIONAL TRACK & FIELD,PS2,7.3,25-Oct-00
72,FANTAVISION,PS2,6,25-Oct-00
72,MICROSOFT GOLF 2001 EDITION,PC,7,24-Aug-00
85,WWE SMACKDOWN! HERE COMES THE PAIN,PS2,8.9,27-Oct-03
85,FREELANCER,PC,8.9,3-Mar-03
85,THE ELDER SCROLLS III: BLOODMOON,PC,8.3,3-Jun-03
85,ANARCHY ONLINE: SHADOWLANDS,PC,8.5,8-Sep-03
84,DISGAEA: HOUR OF DARKNESS,PS2,8.8,27-Aug-03
84,NEVERWINTER NIGHTS: HORDES OF THE UNDERDARK,PC,8.4,2-Dec-03
84,MAX PAYNE 2: THE FALL OF MAX PAYNE,XBOX,8.2,25-Nov-03
84,COMMAND & CONQUER: GENERALS,PC,8.3,10-Feb-03
84,RETURN TO CASTLE WOLFENSTEIN: TIDES OF WAR,XBOX,8.4,6-May-03
84,SKIES OF ARCADIA LEGENDS,GC,8.7,27-Jan-03
84,AGE OF MYTHOLOGY: THE TITANS,PC,8.7,30-Sep-03
84,SIMCITY 4,PC,8.7,12-Jan-03
84,TRON 2.0,PC,8.3,26-Aug-03
84,MEDIEVAL: TOTAL WAR - VIKING INVASION,PC,8.8,7-May-03
84,BATTLEFIELD 1942: THE ROAD TO ROME,PC,7.6,2-Feb-03
84,THE SIMS,XBOX,6.8,24-Mar-03
83,HALO: COMBAT EVOLVED,PC,7.5,30-Sep-03
83,FIFA SOCCER 2004,GC,6.3,4-Nov-03
83,COMMAND & CONQUER: GENERALS - ZERO HOUR,PC,8.9,22-Sep-03
83,HOMEWORLD 2,PC,8.4,16-Sep-03
83,WAKEBOARDING UNLEASHED FEATURING SHAUN MURRAY,PS2,8.3,10-Jun-03
83,GALACTIC CIVILIZATIONS,PC,7.7,26-Mar-03
83,FREEDOM FIGHTERS,GC,7.3,1-Oct-03
83,SUPER PUZZLE FIGHTER II,GBA,7.6,31-Mar-03
83,TOM CLANCY'S RAINBOW SIX 3: RAVEN SHIELD,PC,8.8,19-Mar-03
83,XENOSAGA EPISODE I: DER WILLE ZUR MACHT,PS2,8.6,26-Feb-03
83,WORLD OF OUTLAWS: SPRINT CARS,PC,7.2,11-Feb-03
83,HITMAN 2: SILENT ASSASSIN,GC,5.9,19-Jun-03
83,SONIC ADVANCE 2,GBA,8.2,9-Mar-03
83,RAYMAN 3,GBA,7.5,2-Mar-03
83,BOKTAI: THE SUN IS IN YOUR HAND,GBA,8.5,16-Sep-03
83,HIGH HEAT MAJOR LEAGUE BASEBALL 2004,PS2,8.1,20-Feb-03
82,POKEMON RUBY VERSION,GBA,8.5,18-Mar-03
82,ZONE OF THE ENDERS: THE 2ND RUNNER,PS2,8.9,10-Mar-03
82,BROKEN SWORD: THE SLEEPING DRAGON,PC,7.5,17-Nov-03
82,AGE OF WONDERS: SHADOW MAGIC,PC,8.5,25-Jul-03
82,NEED FOR SPEED: UNDERGROUND,PC,8.3,17-Nov-03
82,APE ESCAPE 2,PS2,8.4,30-Jun-03
82,DANCE DANCE REVOLUTION ULTRAMIX,XBOX,8.8,20-Nov-03
82,NCAA MARCH MADNESS 2004,PS2,8.8,17-Nov-03
82,METAL ARMS: GLITCH IN THE SYSTEM,XBOX,8.5,18-Nov-03
82,NINJA FIVE-O,GBA,8.2,22-Apr-03
82,THE SIMPSONS: HIT & RUN,PC,8.1,13-Nov-03
82,DDRMAX2 DANCE DANCE REVOLUTION,PS2,8.2,23-Sep-03
81,AIRBORNE ASSAULT: HIGHWAY TO THE REICH,PC,6.1,10-Dec-03
81,NANCY DREW: DANGER ON DECEPTION ISLAND,PC,7.6,1-Oct-03
81,THE SIMS BUSTIN' OUT,PS2,8.3,15-Dec-03
81,MEGA MAN ZERO 2,GBA,8.7,14-Oct-03
81,TIME CRISIS 3,PS2,8.1,21-Oct-03
81,MARIO GOLF: TOADSTOOL TOUR,GC,8.1,29-Jul-03
81,EMPIRES: DAWN OF THE MODERN WORLD,PC,8.1,21-Oct-03
81,PLANETSIDE,PC,7.3,20-May-03
81,KARNAAJ RALLY,GBA,7.6,2-Jan-03
81,COMBAT MISSION 3: AFRIKA KORPS,PC,7.9,3-Dec-03
81,FATAL FRAME II: CRIMSON BUTTERFLY,PS2,8.9,10-Dec-03
81,POKEMON PINBALL: RUBY & SAPPHIRE,GBA,7.7,26-Aug-03
81,STAR WARS JEDI KNIGHT: JEDI ACADEMY,PC,8.6,17-Sep-03
81,HARVEST MOON: FRIENDS OF MINERAL TOWN,GBA,8.9,17-Nov-03
81,NHL HITZ PRO,GC,7.8,25-Sep-03
81,GHOST MASTER,PC,7.7,26-Aug-03
81,DEF JAM VENDETTA,GC,8.3,31-Mar-03
80,DEUS EX: INVISIBLE WAR,PC,6.4,2-Dec-03
80,EYETOY: PLAY,PS2,7.5,4-Nov-03
80,THE SIMS: MAKIN' MAGIC,PC,8.2,28-Oct-03
84,NBA 2K6,PS2,8.3,26-Sep-05
84,THE INCREDIBLE HULK: ULTIMATE DESTRUCTION,GC,7.9,23-Aug-05
84,BROTHERS IN ARMS: EARNED IN BLOOD,PC,7.4,4-Oct-05
84,INDIGO PROPHECY,XBOX,7.6,26-Sep-05
84,TOM CLANCY'S GHOST RECON 2 SUMMIT STRIKE,XBOX,7.2,2-Aug-05
84,DARWINIA,PC,7.7,14-Jul-05
84,WWE SMACKDOWN! VS. RAW 2006,PS2,8.3,14-Nov-05
83,SLY 3: HONOR AMONG THIEVES,PS2,8.8,26-Sep-05
83,FABLE: THE LOST CHAPTERS,PC,8.6,20-Sep-05
83,RACING GEARS ADVANCE,GBA,8,8-Feb-05
83,NEED FOR SPEED: MOST WANTED,X360,8.5,16-Nov-05
83,HEARTS OF IRON II,PC,8.6,4-Jan-05
83,GUNSTAR SUPER HEROES,GBA,8.2,25-Oct-05
83,NINTENDOGS: CHIHUAHUA & FRIENDS,DS,8.4,22-Aug-05
83,NINTENDOGS: LAB & FRIENDS,DS,7.7,22-Aug-05
83,NINTENDOGS: DACHSHUND & FRIENDS,DS,8.2,22-Aug-05
83,TONY HAWK'S UNDERGROUND 2 REMIX,PSP,8,23-Mar-05
82,CITY OF VILLAINS,PC,7.6,31-Oct-05
82,ACT OF WAR: DIRECT ACTION,PC,8.2,15-Mar-05
82,DANGEROUS WATERS,PC,8.8,22-Feb-05
82,ROME: TOTAL WAR BARBARIAN INVASION,PC,8.4,27-Sep-05
82,TRACKMANIA SUNRISE,PC,8.3,6-May-05
82,SOCOM 3: U.S. NAVY SEALS,PS2,8.8,11-Oct-05
82,X-MEN LEGENDS II: RISE OF APOCALYPSE,GC,6.2,20-Sep-05
82,SONIC RUSH,DS,8.4,15-Nov-05
82,NHL EASTSIDE HOCKEY MANAGER 2005,PC,6.6,5-Oct-05
82,SHIN MEGAMI TENSEI: DIGITAL DEVIL SAGA 2,PS2,3.5,11-Oct-05
82,MAJOR LEAGUE BASEBALL 2K5,PS2,7.4,28-Feb-05
82,SOCOM: U.S. NAVY SEALS FIRETEAM BRAVO,PSP,8.6,8-Nov-05
82,TIMESPLITTERS: FUTURE PERFECT,GC,8.5,21-Mar-05
82,HARVEST MOON: MORE FRIENDS OF MINERAL TOWN,GBA,8.6,26-Jul-05
81,TOM CLANCY'S SPLINTER CELL CHAOS THEORY,GC,8.1,31-Mar-05
81,WARIOWARE: TOUCHED!,DS,8.1,14-Feb-05
81,NHL 2K6,PS2,5.8,7-Sep-05
81,RATCHET: DEADLOCKED,PS2,8.9,25-Oct-05
81,PHANTOM DUST,XBOX,7.7,15-Mar-05
81,TRAUMA CENTER: UNDER THE KNIFE,DS,8.5,4-Oct-05
81,AGE OF EMPIRES III,PC,7.7,18-Oct-05
81,TIGER WOODS PGA TOUR 06,XBOX,5.1,20-Sep-05
81,MARIO TENNIS: POWER TOUR,GBA,8.2,5-Dec-05
81,HOT SHOTS GOLF: OPEN TEE,PSP,8.7,3-May-05
81,THE SIMS 2 UNIVERSITY,PC,7.7,28-Feb-05
81,DISNEY'S TOONTOWN ONLINE,PC,8.2,6-Oct-05
81,PERFECT DARK ZERO,X360,7.3,17-Nov-05
81,MLB 2006,PS2,8.6,8-Mar-05
80,DONKEY KONG JUNGLE BEAT,GC,8.1,14-Mar-05
80,SID MEIER'S PIRATES!,XBOX,6.7,11-Jul-05
80,DUNGEON SIEGE II,PC,7.7,16-Aug-05
80,SSX ON TOUR,GC,7.6,11-Oct-05
80,"CODENAME: PANZERS, PHASE TWO",PC,7.7,25-Jul-05
80,MEGA MAN ANNIVERSARY COLLECTION,XBOX,8,15-Mar-05
80,FATE,PC,7.7,18-May-05
80,DRAGONSHARD,PC,7.4,2-Oct-05
80,DAY OF DEFEAT: SOURCE,PC,9.1,26-Sep-05
80,MLB,PSP,7.9,12-Apr-05
80,NEED FOR SPEED MOST WANTED,GC,8.7,15-Nov-05
80,SOULCALIBUR VI,PC,5.6,18-Oct-18
80,DRAGON'S CROWN PRO,PS4,7.8,15-May-18
80,OCTAHEDRON,PS4,6.1,20-Mar-18
80,MONSTER HUNTER GENERATIONS ULTIMATE,Switch,8.3,28-Aug-18
80,THE ROOM,Switch,8,18-Oct-18
80,SHIN MEGAMI TENSEI: STRANGE JOURNEY REDUX,3DS,3.5,15-May-18
80,MADDEN NFL 19,PS4,2.4,10-Aug-18
80,NHL 19,PS4,5.7,14-Sep-18
80,PAC-MAN CHAMPIONSHIP EDITION 2 PLUS,Switch,7.8,22-Feb-18
80,LUMINES REMASTERED,PS4,7.5,26-Jun-18
80,SEMBLANCE,PC,6.4,24-Jul-18
80,THE BANNER SAGA 3,PS4,6.8,26-Jul-18
80,LAYERS OF FEAR: LEGACY,Switch,7.5,21-Feb-18
79,WORLD OF WARCRAFT: BATTLE FOR AZEROTH,PC,3.1,13-Aug-18
79,FIREWALL ZERO HOUR,PS4,8.7,28-Aug-18
79,SLAYAWAY CAMP: BUTCHER'S CUT,Switch,7.7,22-Mar-18
79,FIRE PRO WRESTLING WORLD,PS4,6.5,28-Aug-18
79,YOUROPA,PC,6.6,27-Jun-18
79,FOR THE KING,PC,7.1,19-Apr-18
79,MEGA MAN LEGACY COLLECTION + MEGA MAN LEGACY COLLECTION 2,Switch,7.8,22-May-18
79,SKIES OF FURY DX,Switch,6.9,12-Apr-18
79,LITTLE NIGHTMARES: COMPLETE EDITION,Switch,8.4,18-May-18
79,FAR: LONE SAILS,PC,7.5,17-May-18
79,SUBSURFACE CIRCULAR,Switch,7.5,1-Mar-18
79,ARCHANGEL: HELLFIRE,PC,8.4,17-Jul-18
79,CRASH BANDICOOT N. SANE TRILOGY,XONE,7,29-Jun-18
79,LIFE IS STRANGE 2: EPISODE 1 - ROADS,XONE,4.5,27-Sep-18
79,UNFORESEEN INCIDENTS,PC,7.4,24-May-18
79,FRAMED COLLECTION,Switch,8,17-May-18
79,JOE DEVER'S LONE WOLF,Switch,7.6,16-Feb-18
84,MICROSOFT TRAIN SIMULATOR,PC,8,31-May-01
79,PIT PEOPLE,XONE,7.3,2-Mar-18
79,STEREDENN: BINARY STARS,Switch,8,8-Mar-18
79,BLEED 2,PS4,6.5,6-Feb-18
79,CAPTAIN TOAD: TREASURE TRACKER,3DS,7.3,13-Jul-18
79,SID MEIER'S CIVILIZATION VI: RISE AND FALL,PC,6.3,8-Feb-18
84,RAYMAN ADVANCE,GBA,8.4,10-Jun-01
84,POSEIDON,PC,8.1,25-Jun-01
84,RESIDENT EVIL CODE: VERONICA X,PS2,8.5,21-Aug-01
84,CHUCHU ROCKET!,GBA,8.7,10-Jun-01
83,EVERQUEST: THE SHADOWS OF LUCLIN,PC,7.2,2-Dec-01
79,TACOMA,PS4,6.1,8-May-18
78,LA-MULANA 2,PC,7.5,30-Jul-18
78,DETROIT: BECOME HUMAN,PS4,8.7,25-May-18
78,EVERSPACE,PS4,5.9,22-May-18
78,BATTLETECH,PC,7,24-Apr-18
78,DEATH ROAD TO CANADA,PS4,5.9,8-May-18
83,XGIII: EXTREME G RACING,GC,7.8,27-Nov-01
83,F1 2001,XBOX,5.5,18-Nov-01
83,INDEPENDENCE WAR 2: EDGE OF CHAOS,PC,8,22-Aug-01
83,FREQUENCY,PS2,8.6,19-Nov-01
82,CAPITALISM II,PC,8.8,16-Dec-01
82,RALLY TROPHY,PC,7.4,20-Nov-01
80,LEAP OF FATE,PC,7.5,30-Mar-16
78,BRIDGE CONSTRUCTOR PORTAL,PS4,3.7,1-Mar-18
78,FORGOTTON ANNE,PS4,7.2,15-May-18
78,MUSYNX,Switch,8,19-Jun-18
78,THE PERSISTENCE,PS4,8,24-Jul-18
78,CAPCOM BEAT 'EM UP BUNDLE,Switch,7.8,18-Sep-18
78,MOTHERGUNSHIP,PS4,4.9,17-Jul-18
78,UNRAVEL TWO,PC,5.9,9-Jun-18
78,SAIRENTO VR,PC,7.6,19-Jan-18
78,A WAY OUT,PC,7.5,23-Mar-18
82,GT ADVANCE CHAMPIONSHIP RACING,GBA,tbd,8-Jun-01
82,RING OF RED,PS2,8.1,12-Mar-01
82,CRAZY TAXI 2,DC,8.2,28-May-01
82,FALLOUT TACTICS: BROTHERHOOD OF STEEL,PC,7.7,14-Mar-01
82,BATTLE REALMS,PC,8.5,7-Nov-01
82,ATV OFFROAD FURY,PS2,8.3,5-Feb-01
82,FINAL FIGHT ONE,GBA,7.9,26-Sep-01
80,TYRANNY,PC,7.8,10-Nov-16
80,FOOTBALL MANAGER 2017,PC,5.1,4-Nov-16
80,KING'S QUEST CHAPTER 3: ONCE UPON A CLIMB,XONE,5.7,26-Apr-16
80,BOXBOXBOY!,3DS,7.9,30-Jun-16
80,OVERCOOKED!,XONE,6.7,3-Aug-16
80,TOKYO MIRAGE SESSIONS #FE,WIIU,6.3,24-Jun-16
78,BRASS TACTICS,PC,tbd,22-Feb-18
78,UNDER NIGHT IN-BIRTH EXE:LATE[ST],PS4,7.6,9-Feb-18
78,THE MISSING: JJ MACFIELD AND THE ISLAND OF MEMORIES,PC,6.9,11-Oct-18
78,ATOMIK: RUNGUNJUMPGUN,Switch,7.7,8-Feb-18
81,TIME CRISIS II,PS2,7.9,1-Oct-01
81,GOTHIC,PC,8.7,23-Nov-01
81,ARCANUM: OF STEAMWORKS AND MAGICK OBSCURA,PC,8.7,22-Aug-01
81,STRONGHOLD,PC,8.9,21-Oct-01
81,RAILS ACROSS AMERICA,PC,7,18-Sep-01
81,EMPIRE EARTH,PC,8.3,12-Nov-01
81,FIFA SOCCER 2002,PS,5,1-Nov-01
81,OOGA BOOGA,DC,8.5,13-Sep-01
80,BIOSHOCK: THE COLLECTION,PC,6.8,16-Sep-16
80,SAMOROST 3,PC,7.9,24-Mar-16
80,SCORE RUSH EXTENDED,PS4,7.5,31-May-16
80,GHOST 1.0,PC,7.5,7-Jun-16
78,WARIOWARE GOLD,3DS,8.4,3-Aug-18
78,FAR CRY 5,PC,5.9,27-Mar-18
78,HYRULE WARRIORS: DEFINITIVE EDITION,Switch,8.1,18-May-18
81,CAPCOM VS. SNK 2: MARK OF THE MILLENNIUM 2001,PS2,8,6-Nov-01
80,SOUL REAVER 2,PS2,8.5,31-Oct-01
80,ECKS VS. SEVER,GBA,8,27-Nov-01
80,CONQUEST: FRONTIER WARS,PC,8.5,14-Aug-01
80,BOMBERMAN ONLINE,DC,8.3,30-Oct-01
80,PROJECT JUSTICE,DC,8.7,16-May-01
80,CANDLE,PC,7.7,11-Nov-16
80,PINBALL FX2 VR,PS4,6.7,29-Nov-16
80,CITIES: SKYLINES - NATURAL DISASTERS,PC,6.1,29-Nov-16
80,GRAVITY RUSH REMASTERED,PS4,8.2,2-Feb-16
78,LEGENDARY GARY,PC,tbd,20-Feb-18
77,TOWER OF TIME,PC,7.6,12-Apr-18
77,NINTENDO LABO: TOYCON 01 VARIETY KIT,Switch,6.9,20-Apr-18
77,BLOODSTAINED: CURSE OF THE MOON,PC,7.3,24-May-18
80,MDK 2: ARMAGEDDON,PS2,8.5,26-Mar-01
80,ASHERON'S CALL DARK MAJESTY,PC,7.3,4-Nov-01
80,THE CORPORATE MACHINE,PC,7.5,14-Jul-01
80,MECHCOMMANDER 2,PC,8.2,18-Jul-01
80,WORLD OF VAN HELSING: DEATHTRAP,XONE,6.9,30-Dec-16
79,SKYLANDERS IMAGINATORS,PS4,5.3,16-Oct-16
79,FRACTURED SPACE,PC,7.6,22-Sep-16
79,STEREDENN,XONE,6.1,1-Apr-16
79,THE BANNER SAGA,PS4,7.7,12-Jan-16
79,ZEN PINBALL 2: BETHESDA PINBALL,PS4,tbd,6-Dec-16
79,GOETIA,PC,7.6,14-Apr-16
80,DARK CLOUD,PS2,8.1,28-May-01
80,WATERLOO: NAPOLEON'S LAST BATTLE,PC,7.5,25-Mar-01
80,WAVE RACE: BLUE STORM,GC,8.3,17-Nov-01
80,PHANTASY STAR ONLINE VER. 2,DC,8.6,24-Sep-01
80,HOSTILE WATERS: ANTAEUS RISING,PC,7.6,13-Jun-01
79,NFL FEVER 2002,XBOX,8.3,14-Nov-01
79,TOM CLANCY'S THE DIVISION,PC,6,8-Mar-16
79,NARUTO SHIPPUDEN: ULTIMATE NINJA STORM 4,PS4,8.1,9-Feb-16
79,KELVIN AND THE INFAMOUS MACHINE,PC,7.2,21-Jul-16
79,SMITE,PS4,6.9,24-Mar-16
79,PILLARS OF ETERNITY: THE WHITE MARCH - PART 2,PC,7.1,16-Feb-16
79,TRACKMANIA TURBO,PC,7,24-Mar-16
79,THE KING OF FIGHTERS XIV,PS4,8.2,23-Aug-16
79,SHIREN THE WANDERER: THE TOWER OF FORTUNE AND THE DICE OF FATE,VITA,8,26-Jul-16
79,KOHAN: AHRIMAN'S GIFT,PC,8.7,5-Nov-01
79,PAC-MAN COLLECTION,GBA,7.7,12-Jul-01
79,EMPEROR: BATTLE FOR DUNE,PC,8.2,12-Jun-01
79,ROWAN'S BATTLE OF BRITAIN,PC,tbd,31-Jan-01
79,GIANTS: CITIZEN KABUTO,PS2,6.9,20-Dec-01
79,JUMPGATE: THE RECONSTRUCTION INITIATIVE,PC,tbd,23-Sep-01
79,AQUA AQUA,PS2,tbd,9-Jan-01
79,SHATTERED GALAXY,PC,7.9,21-Aug-01
79,GUILTY GEAR X,PS2,7.8,30-Sep-01
79,HITMAN - EPISODE 3: MARRAKESH,PC,5.7,31-May-16
79,ALIENATION,PS4,7.8,26-Apr-16
79,HOMEWORLD: DESERTS OF KHARAK,PC,8,20-Jan-16
79,THE METRONOMICON,PC,7.1,1-Sep-16
79,NOITU LOVE: DEVOLUTION,WIIU,7.2,15-Sep-16
79,SUPER DODGE BALL ADVANCE,GBA,tbd,10-Jun-01
79,BREATH OF FIRE,GBA,7.5,13-Dec-01
79,MEGA MAN BATTLE NETWORK,GBA,8.3,30-Oct-01
78,GRADIUS GALAXIES,GBA,tbd,12-Nov-01
78,TALES OF DESTINY II,PS,8.4,10-Sep-01
78,NASCAR HEAT 2002,XBOX,tbd,14-Nov-01
78,MECHWARRIOR 4: BLACK KNIGHT EXPANSION,PC,7.1,31-Oct-01
78,THE WALKING DEAD: THE TELLTALE SERIES - A NEW FRONTIER EPISODE 2: TIES THAT BIND PART TWO,XONE,6.3,20-Dec-16
78,XANADU NEXT,PC,7.5,3-Nov-16
78,OBLITERACERS,PC,7.7,23-Feb-16
78,LAYERS OF FEAR,XONE,7.2,16-Feb-16
78,DEATHSMILES,PC,7,10-Mar-16
78,THE SIMS 4: CITY LIVING,PC,5.8,1-Nov-16
78,STELLARIS,PC,8,9-May-16
