metascore,name,console,userscore,date
84,METRO REDUX,PC,8,26-Aug-14
84,FROZEN SYNAPSE PRIME,VITA,7.2,23-Sep-14
84,EUROPA UNIVERSALIS IV: WEALTH OF NATIONS,PC,8.5,29-May-14
84,MINECRAFT: PLAYSTATION VITA EDITION,VITA,7.6,14-Oct-14
84,ULTIMATE GENERAL: GETTYSBURG,PC,7.7,16-Oct-14
83,BLAZBLUE: CHRONO PHANTASMA,PS3,8.3,25-Mar-14
83,PERSONA Q: SHADOW OF THE LABYRINTH,3DS,6.5,25-Nov-14
83,THE BLACKWELL EPIPHANY,PC,7.7,24-Apr-14
83,RETRO CITY RAMPAGE DX,3DS,7.5,6-Feb-14
83,TRANSISTOR,PS4,8.2,20-May-14
98,RED DEAD REDEMPTION 2,XONE,5.9,26-Oct-18
94,CELESTE,XONE,6.4,26-Jan-18
93,DIVINITY: ORIGINAL SIN II - DEFINITIVE EDITION,XONE,7.5,31-Aug-18
92,BAYONETTA 2,Switch,8.4,16-Feb-18
91,SHADOW OF THE COLOSSUS,PS4,8.5,6-Feb-18
91,RETURN OF THE OBRA DINN,PC,8.6,18-Oct-18
90,INTO THE BREACH,Switch,7.5,28-Aug-18
90,NIER: AUTOMATA - BECOME AS GODS EDITION,XONE,9,26-Jun-18
90,BAYONETTA + BAYONETTA 2,Switch,8.7,16-Feb-18
89,ASTRO BOT: RESCUE MISSION,PS4,9,2-Oct-18
88,FORZA HORIZON 4,PC,7.6,28-Sep-18
88,INJUSTICE 2: LEGENDARY EDITION,PS4,7.3,27-Mar-18
88,PILLARS OF ETERNITY II: DEADFIRE,PC,7.7,8-May-18
88,MONSTER HUNTER: WORLD,PC,5.4,9-Aug-18
88,IKARUGA,Switch,7.8,29-May-18
88,ASSASSIN'S CREED ODYSSEY,PC,5,2-Oct-18
88,DEAD CELLS,PS4,7.5,7-Aug-18
88,HELLBLADE: SENUA'S SACRIFICE,XONE,7.2,11-Apr-18
87,SUBNAUTICA,PC,8.3,23-Jan-18
87,STREET FIGHTER V: ARCADE EDITION,PS4,7,16-Jan-18
87,MARVEL'S SPIDER-MAN,PS4,8.8,7-Sep-18
87,VELOCITY 2X,Switch,6.8,20-Sep-18
95,PORTAL 2,PS3,8.5,19-Apr-11
94,THE LEGEND OF ZELDA: OCARINA OF TIME 3D,3DS,9,19-Jun-11
94,MASS EFFECT 2,PS3,8.5,17-Jan-11
93,THE LEGEND OF ZELDA: SKYWARD SWORD,WII,8.1,20-Nov-11
92,THE ELDER SCROLLS V: SKYRIM,PS3,6.5,11-Nov-11
87,SONIC MANIA PLUS,PS4,7.9,17-Jul-18
86,THRONEBREAKER: THE WITCHER TALES,PC,9,23-Oct-18
86,CRYPT OF THE NECRODANCER: NINTENDO SWITCH EDITION,Switch,7.5,1-Feb-18
86,DONKEY KONG COUNTRY: TROPICAL FREEZE,Switch,8.6,4-May-18
86,DRAGON QUEST XI: ECHOES OF AN ELUSIVE AGE,PS4,8.8,4-Sep-18
86,UNAVOWED,PC,8,8-Aug-18
93,UNCHARTED 4: A THIEF'S END,PS4,8.3,10-May-16
92,UNCHARTED 3: DRAKE'S DECEPTION,PS3,8.4,1-Nov-11
92,THE ICO & SHADOW OF THE COLOSSUS COLLECTION,PS3,8.6,27-Sep-11
91,LITTLEBIGPLANET 2,PS3,8.4,18-Jan-11
91,FORZA MOTORSPORT 4,X360,8.2,11-Oct-11
91,BATMAN: ARKHAM CITY,PC,8.7,21-Nov-11
91,GEARS OF WAR 3,X360,7.9,20-Sep-11
90,NBA 2K12,PS3,6.7,4-Oct-11
86,YAKUZA 0,PC,8.2,1-Aug-18
86,DESTINY 2: FORSAKEN,XONE,5.5,4-Sep-18
93,INSIDE,XONE,8.2,29-Jun-16
92,OUT OF THE PARK BASEBALL 17,PC,3.4,22-Mar-16
91,OVERWATCH,XONE,5.8,23-May-16
91,THE WITCHER 3: WILD HUNT - BLOOD AND WINE,PS4,8.9,30-May-16
90,STEPHEN'S SAUSAGE ROLL,PC,5.5,17-Apr-16
90,NBA 2K17,XONE,6,16-Sep-16
90,SUPER MARIO 3D LAND,3DS,8.4,13-Nov-11
90,PUSHMO,3DS,8.3,8-Dec-11
90,LIMBO,PS3,7.8,19-Jul-11
90,TOTAL WAR: SHOGUN 2,PC,8.4,15-Mar-11
89,DARK SOULS,X360,8.7,4-Oct-11
89,DEUS EX: HUMAN REVOLUTION,PS3,8.2,23-Aug-11
85,GUACAMELEE! 2,PC,7.4,21-Aug-18
85,FINAL FANTASY XV: WINDOWS EDITION,PC,7.7,6-Mar-18
85,CROSSCODE,PC,7.5,20-Sep-18
85,DJMAX RESPECT,PS4,7.5,6-Mar-18
85,DRAGON BALL FIGHTERZ,PC,7.6,26-Jan-18
85,BATMAN: THE ENEMY WITHIN - EPISODE 5: SAME STITCH,PC,7.6,26-Mar-18
85,YAKUZA KIWAMI 2,PS4,8,28-Aug-18
85,FULL METAL FURIES,PC,7.4,17-Jan-18
90,KENTUCKY ROUTE ZERO - ACT IV,PC,6.2,20-Jul-16
89,DARK SOULS III,PC,8.5,11-Apr-16
89,STARDEW VALLEY,XONE,7.7,14-Dec-16
88,ORI AND THE BLIND FOREST: DEFINITIVE EDITION,XONE,7.6,11-Mar-16
88,RISE OF THE TOMB RAIDER: 20 YEAR CELEBRATION,PS4,8.1,11-Oct-16
89,L.A. NOIRE,PS3,7.8,17-May-11
89,DEAD SPACE 2,PS3,8.4,25-Jan-11
85,WEST OF LOATHING,Switch,7.5,31-May-18
85,MOSS,PS4,8.2,27-Feb-18
85,RADIANT HISTORIA: PERFECT CHRONOLOGY,3DS,8.5,13-Feb-18
85,FLAT HEROES,Switch,7.9,2-Aug-18
84,SHANTAE: HALF-GENIE HERO - ULTIMATE EDITION,Switch,7.8,8-May-18
84,TWO POINT HOSPITAL,PC,7.6,29-Aug-18
84,428: SHIBUYA SCRAMBLE,PS4,7.9,4-Sep-18
97,SUPER MARIO ODYSSEY,Switch,8.9,27-Oct-17
96,THE LEGEND OF ZELDA: BREATH OF THE WILD,WIIU,8.2,3-Mar-17
93,DIVINITY: ORIGINAL SIN II,PC,8.4,14-Sep-17
93,PERSONA 5,PS4,9,4-Apr-17
92,WHAT REMAINS OF EDITH FINCH,XONE,7.4,19-Jul-17
92,UNDERTALE,PS4,6.5,15-Aug-17
92,OKAMI HD,PC,7.7,12-Dec-17
92,MARIO KART 8 DELUXE,Switch,8.6,28-Apr-17
91,STEAMWORLD HEIST: ULTIMATE EDITION,Switch,8.4,28-Dec-17
91,SHOVEL KNIGHT: TREASURE TROVE,Switch,8.2,3-Mar-17
88,XCOM 2,PC,7.2,5-Feb-16
88,FIRE EMBLEM FATES: SPECIAL EDITION,3DS,6.7,19-Feb-16
88,FIRE EMBLEM FATES: REVELATION,3DS,5.9,10-Mar-16
88,SID MEIER'S CIVILIZATION VI,PC,7.1,21-Oct-16
88,BATTLEFIELD 1,PC,7.1,21-Oct-16
88,WORLD OF WARCRAFT: LEGION,PC,7.3,30-Aug-16
88,KEEP TALKING AND NOBODY EXPLODES,PS4,6.6,13-Oct-16
88,ASSASSIN'S CREED: BROTHERHOOD,PC,8.2,22-Mar-11
88,JOE DANGER: SPECIAL EDITION,X360,7.7,14-Dec-11
87,POKEMON WHITE VERSION,DS,7.7,6-Mar-11
87,TACTICS OGRE: LET US CLING TOGETHER,PSP,8.8,14-Feb-11
87,DIRT 3,X360,7,24-May-11
84,SPRINT VECTOR,PC,7.2,8-Feb-18
84,TOTAL WAR: WARHAMMER II - RISE OF THE TOMB KINGS,PC,7.2,23-Jan-18
84,VALKYRIA CHRONICLES 4,PC,7.8,25-Sep-18
84,MEGA MAN X LEGACY COLLECTION,Switch,8.5,24-Jul-18
84,FROSTPUNK,PC,8.5,24-Apr-18
89,LONE ECHO,PC,7.6,20-Jul-17
89,REZ INFINITE,PC,7.2,9-Aug-17
89,HORIZON ZERO DAWN,PS4,8.3,28-Feb-17
88,XCOM 2: WAR OF THE CHOSEN,PC,7.7,29-Aug-17
88,N++,XONE,5.2,4-Oct-17
88,WOLFENSTEIN II: THE NEW COLOSSUS,XONE,6.2,27-Oct-17
87,POKEMON SUN,3DS,8.3,18-Nov-16
87,POKEMON MOON,3DS,8.7,18-Nov-16
87,FIRE EMBLEM FATES: CONQUEST,3DS,7.3,19-Feb-16
93,PERSONA 4 GOLDEN,VITA,8.9,20-Nov-12
87,POKEMON BLACK VERSION,DS,7.6,6-Mar-11
86,RADIANT SILVERGUN,X360,8.3,14-Sep-11
86,CRYSIS 2,PC,6.8,22-Mar-11
88,CUPHEAD,PC,8.3,29-Sep-17
88,CAVE STORY +,Switch,7.8,20-Jun-17
88,NIOH,PS4,8.6,7-Feb-17
87,FINAL FANTASY XIV: STORMBLOOD,PC,8.1,20-Jun-17
87,ODIN SPHERE LEIFTHRASIR,PS4,8.2,7-Jun-16
87,FORZA HORIZON 3: BLIZZARD MOUNTAIN,XONE,7.7,13-Dec-16
87,HEX: SHARDS OF FATE,PC,6.4,26-Jan-16
86,FORZA HORIZON 3,PC,6.8,27-Sep-16
86,THE WITNESS,XONE,6.7,13-Sep-16
86,DIRT RALLY,XONE,8,5-Apr-16
96,GRAND THEFT AUTO V,PC,7.7,14-Apr-15
93,MASS EFFECT 3,PS3,5.6,5-Mar-12
92,THE WALKING DEAD: A TELLTALE GAMES SERIES,X360,8.6,27-Apr-12
92,XENOBLADE CHRONICLES,WII,9.2,6-Apr-12
86,STREET FIGHTER III: THIRD STRIKE ONLINE EDITION,PS3,7.2,23-Aug-11
86,DANCE CENTRAL 2,X360,8.2,25-Oct-11
86,NHL 12,X360,7,13-Sep-11
87,NIGHT IN THE WOODS,PS4,7.2,21-Feb-17
87,HOLLOW KNIGHT,PC,8.8,24-Feb-17
87,RAW DATA,PC,6.6,5-Oct-17
87,ZERO ESCAPE: THE NONARY GAMES,PS4,8,24-Mar-17
86,KILLER INSTINCT SEASON 3,XONE,6.7,29-Mar-16
86,RISE OF THE TOMB RAIDER,PC,7.9,28-Jan-16
86,TOTAL WAR: WARHAMMER,PC,7.3,24-May-16
86,PICROSS 3D: ROUND 2,3DS,7.6,1-Sep-16
86,GEARS OF WAR 4,PC,6.7,11-Oct-16
86,GUILTY GEAR XRD -REVELATOR-,PS4,8.1,7-Jun-16
95,METAL GEAR SOLID V: THE PHANTOM PAIN,XONE,7.4,1-Sep-15
92,JOURNEY,PS4,8.4,21-Jul-15
92,BLOODBORNE,PS4,8.9,24-Mar-15
92,THE WITCHER 3: WILD HUNT,PS4,9.2,19-May-15
90,TRIALS EVOLUTION,X360,8,18-Apr-12
90,MARK OF THE NINJA,X360,7.4,7-Sep-12
90,GUILD WARS 2,PC,8.1,28-Aug-12
85,RADIANT HISTORIA,DS,8.5,22-Feb-11
85,SUPER STREET FIGHTER IV: 3D EDITION,3DS,8,27-Mar-11
85,THE LEGEND OF ZELDA: FOUR SWORDS ANNIVERSARY EDITION,DS,7.4,28-Sep-11
85,MARVEL VS. CAPCOM 3: FATE OF TWO WORLDS,X360,7.1,15-Feb-11
85,FROZEN SYNAPSE,PC,7.6,26-May-11
87,TOTAL WAR: WARHAMMER II,PC,7.5,28-Sep-17
87,FORZA HORIZON 3: HOT WHEELS,XONE,7.4,9-May-17
86,THUMPER,XONE,5.1,18-Aug-17
86,ROCKET LEAGUE,Switch,8.2,14-Nov-17
86,PILLARS OF ETERNITY: COMPLETE EDITION,XONE,7.7,29-Aug-17
86,SKY FORCE RELOADED,XONE,6.5,1-Dec-17
86,DISHONORED 2,PC,6.7,10-Nov-16
86,F1 2016,PC,7.7,19-Aug-16
86,PONY ISLAND,PC,7.3,4-Jan-16
86,TITANFALL 2,PC,8.2,28-Oct-16
86,FIRE EMBLEM FATES: BIRTHRIGHT,3DS,7.3,19-Feb-16
86,THE LEGEND OF ZELDA: TWILIGHT PRINCESS HD,WIIU,8.4,4-Mar-16
85,MONSTER HUNTER GENERATIONS,3DS,8,15-Jul-16
85,CRYPT OF THE NECRODANCER,PS4,6.7,2-Feb-16
90,SHOVEL KNIGHT,PS4,7.6,21-Apr-15
90,MARIO KART 8 DLC PACK 2,WIIU,8.9,23-Apr-15
90,TALES FROM THE BORDERLANDS: EPISODE 5 - THE VAULT OF THE TRAVELER,PS4,8,20-Oct-15
90,THE WITCHER 3: WILD HUNT - HEARTS OF STONE,PS4,8.7,12-Oct-15
89,THE LEGEND OF ZELDA: MAJORA'S MASK 3D,3DS,8.9,13-Feb-15
89,PILLARS OF ETERNITY,PC,8.3,26-Mar-15
89,3D GUNSTAR HEROES,3DS,7.9,20-Aug-15
89,XCOM: ENEMY UNKNOWN,PS3,8.2,9-Oct-12
89,FEZ,X360,6.2,13-Apr-12
89,DISHONORED,PS3,7.9,9-Oct-12
85,MARIO KART 7,3DS,8.3,4-Dec-11
85,TRINE 2,PS3,7.2,20-Dec-11
85,STAR WARS: THE OLD REPUBLIC,PC,5.9,20-Dec-11
84,SPACECHEM,PC,8.5,2-Mar-11
84,MIGHT & MAGIC: CLASH OF HEROES,PS3,7.9,12-Apr-11
84,BEYOND GOOD & EVIL HD,X360,8.5,2-Mar-11
86,MINECRAFT: SWITCH EDITION,Switch,7.2,11-May-17
86,RESIDENT EVIL 7: BIOHAZARD,XONE,7.6,24-Jan-17
86,FINAL FANTASY XII: THE ZODIAC AGE,PS4,8.3,11-Jul-17
86,PLAYERUNKNOWN'S BATTLEGROUNDS,PC,4.5,20-Dec-17
86,ROBO RECALL,PC,7.6,1-Mar-17
85,HEARTHSTONE: WHISPERS OF THE OLD GODS,PC,5.4,26-Apr-16
85,FIREWATCH,XONE,4.3,21-Sep-16
85,BLAZBLUE: CHRONO PHANTASMA EXTEND,PC,7.4,2-Mar-16
85,DOOM,PS4,8.3,13-May-16
85,SUPERHOT VR,PC,6.8,5-Dec-16
85,ASSAULT ANDROID CACTUS,PS4,6.7,8-Mar-16
85,MORTAL KOMBAT XL,PS4,7.8,1-Mar-16
89,3D STREETS OF RAGE II,3DS,7.4,23-Jul-15
89,BASTION,PS4,7.8,7-Apr-15
89,DESTINY: THE TAKEN KING,XONE,5.2,15-Sep-15
88,SUPER MARIO MAKER,WIIU,8.8,11-Sep-15
88,DIVINITY: ORIGINAL SIN ENHANCED EDITION,XONE,7.7,27-Oct-15
88,ORI AND THE BLIND FOREST,XONE,8.6,11-Mar-15
88,STARCRAFT II: LEGACY OF THE VOID,PC,8.3,10-Nov-15
88,THE TALOS PRINCIPLE,PS4,8.2,13-Oct-15
89,DARK SOULS: ARTORIAS OF THE ABYSS,X360,8.6,23-Oct-12
89,COLORS! 3D,3DS,7.8,5-Apr-12
88,PINBALL FX 2: MARVEL PINBALL - AVENGERS CHRONICLES,X360,7.5,20-Jun-12
88,FAR CRY 3,PC,8.3,4-Dec-12
88,TORCHLIGHT II,PC,8.5,20-Sep-12
84,FIGHT NIGHT CHAMPION,PS3,7.3,1-Mar-11
84,GOD OF WAR: ORIGINS COLLECTION,PS3,8.5,13-Sep-11
84,BATTLEFIELD 3,X360,7.5,25-Oct-11
84,FOOTBALL MANAGER 2012,PC,7.9,20-Oct-11
84,UNITY OF COMMAND,PC,7.1,15-Nov-11
86,GUILTY GEAR XRD: REV 2,PS4,7.9,26-May-17
86,INJUSTICE 2,PC,7.7,14-Nov-17
85,METROID: SAMUS RETURNS,3DS,8.9,15-Sep-17
85,DRAGON QUEST VIII: JOURNEY OF THE CURSED KING,3DS,8.7,20-Jan-17
85,RATCHET & CLANK,PS4,8.6,12-Apr-16
85,MLB THE SHOW 16,PS4,7.2,29-Mar-16
85,THE LAST DOOR: SEASON 2,PC,7.3,29-Mar-16
85,GONE HOME: CONSOLE EDITION,PS4,4.5,12-Jan-16
84,VALKYRIA CHRONICLES REMASTERED,PS4,8.2,17-May-16
87,BLOODBORNE: THE OLD HUNTERS,PS4,9.3,24-Nov-15
87,ODDWORLD: ABE'S ODDYSEE - NEW 'N' TASTY,PC,7.7,25-Feb-15
87,FORZA MOTORSPORT 6,XONE,7.7,15-Sep-15
87,3D SONIC THE HEDGEHOG 2,3DS,8.4,8-Oct-15
87,3D OUT RUN,3DS,8.3,12-Mar-15
88,THIRTY FLIGHTS OF LOVING,PC,5,20-Aug-12
88,THE WITCHER 2: ASSASSINS OF KINGS,X360,8.3,17-Apr-12
88,DIABLO III,PC,4.1,15-May-12
88,LITTLEBIGPLANET PS VITA,VITA,8.6,18-Sep-12
88,THE WALKING DEAD: EPISODE 5 - NO TIME LEFT,PS3,8.7,20-Nov-12
87,HALO 4,X360,7,6-Nov-12
87,LA-MULANA,WII,8.2,20-Sep-12
84,KILLZONE 3,PS3,8,22-Feb-11
85,PARADIGM,PC,7.3,5-Apr-17
85,BATTLERITE,PC,7.5,8-Nov-17
85,NIOH: BLOODSHED'S END,PS4,6.6,26-Sep-17
85,FINAL FANTASY IX,PS4,9.1,19-Sep-17
85,THE BINDING OF ISAAC: AFTERBIRTH +,Switch,8.1,17-Mar-17
85,YS VIII: LACRIMOSA OF DANA,PS4,8.1,12-Sep-17
85,GALACTIC CIVILIZATIONS III: CRUSADE,PC,6.7,4-May-17
85,STEAMWORLD DIG 2,PC,8.4,22-Sep-17
84,PLANET COASTER,PC,7.7,17-Nov-16
84,BLAZBLUE: CENTRAL FICTION,PS4,7.8,1-Nov-16
86,UNCHARTED: THE NATHAN DRAKE COLLECTION,PS4,8.6,9-Oct-15
86,TALES FROM THE BORDERLANDS: A TELLTALE GAME SERIES,PS4,8.1,20-Oct-15
86,MONSTER HUNTER 4 ULTIMATE,3DS,8.6,13-Feb-15
86,NBA 2K16,XONE,6.1,25-Sep-15
87,MAX PAYNE 3,PC,7.7,31-May-12
87,THE WALKING DEAD: EPISODE 3 - LONG ROAD AHEAD,PS3,7.9,28-Aug-12
87,MLB 12: THE SHOW,PS3,7.5,6-Mar-12
87,VELOCITY,PSP,7.6,1-May-12
87,SPELUNKY,X360,7.3,4-Jul-12
86,TOTAL WAR: SHOGUN 2 - FALL OF THE SAMURAI,PC,8.5,22-Mar-12
85,MLB THE SHOW 17,PS4,6.9,28-Mar-17
85,WIPEOUT: OMEGA COLLECTION,PS4,8.5,6-Jun-17
85,MUTANT MUDDS COLLECTION,Switch,7.8,14-Dec-17
85,NEUROVOIDER,Switch,8,7-Sep-17
85,STARCRAFT REMASTERED,PC,7.8,14-Aug-17
85,NBA 2K18,XONE,1.5,15-Sep-17
